"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct"
"596","Imo: toxins in the body inhibit the ability to feel and express love. I sense so much more love, in me and in my environment, after a detox",14,"feel","and","express","love","i","the","i","to","a","it",0.0399999999999636,TRUE
"597","i am eating an egg sandwich while looking at the menu of the restaurant i'll be eating at tonight",5,"i","am","eating","an","egg","to","have","of","was","am",0.0399999999999636,FALSE
"598","soo.. another day canceled. I quit trying to make plans. :|",8,"canceled","i","quit","trying","to","to","have","was","am","know",0.0300000000002001,TRUE
"599","Preparing another large mural for remounting today. Pictures to follow soon.",10,"remounting","today","pictures","to","follow","the","be","a","make","do",0.0299999999997453,FALSE
"600","Harvey's intro is total doom & gloom so far. I suspect he will acknowledge some? positive expressions of urban social movements",9,"doom","","gloom","so","far","i","much","and","many","we",0.0399999999999636,FALSE
"601","I bet if you were here in Miami / Lauderdale u would like a bad chick would. In my Rkelly tone ....lmfao send me something nice.",19,"bad","chick","would","in","my","the","a","my","and","his",0.0300000000002001,TRUE
"602","Are you aware of any news organizations that will be livestreaming the Celebration of Life for Jr. Seau on May 11?",8,"of","any","news","organizations","that","the","a","and","my","it",0.0299999999997453,FALSE
"603","true, true. I need good treatment then! The hell",3,NA,NA,"true","true","i","i","would","to","a","that",0.0100000000002183,TRUE
"604","So much for trying to sleep early.",7,"for","trying","to","sleep","early","the","be","a","make","do",0.0399999999999636,FALSE
"605","When asked me if my sister was buff like me, I was like Lmao!!! no we just look alike I guess lol",2,NA,NA,NA,"when","asked","the","i","you","he","they",0.0100000000002183,FALSE
"606","Talking to him>>>>",2,NA,NA,NA,"talking","to","to","about","the","each","with",0,TRUE
"607","St Luke's church at 100 W 86th street taking donations for #INtornado victims today at 9 am",12,"street","taking","donations","for","intornado","the","a","me","and","this",0.0499999999997272,FALSE
"608","Organizing is much more than cleaning. One is putting things where they belong, the other is knowing why they belong there.",15,"where","they","belong","the","other","of","and","to","is","first",0.0300000000002001,FALSE
"609","Yes , so glad I made it!",3,NA,NA,"yes","","so","is","he","it","this","so",0.00999999999976353,TRUE
"610","thanks for forgetting me",4,NA,"thanks","for","forgetting","me","the","a","me","and","this",0.0399999999999636,TRUE
"611","I love all your CB tweets. It's like reading myself tweet. We agree on so much! Seriously can't wait for S6.",21,"seriously","can't","wait","for","s","the","a","me","and","this",0.0300000000002001,FALSE
"612","lol was dying reading that. You know me brotha, ain't a thang to worry about. Born ready #problemchildontheloose /Cc",14,"ain't","a","thang","to","worry","the","be","a","make","do",0.0299999999997453,FALSE
"613","Mr.Gay! We could be so happy together!",7,"could","be","so","happy","together","i","much","to","the","a",0.0500000000001819,FALSE
"614","i missed first 25 minutes of show. i wonder if news will infiorm #Vegas about similar difficulties tomorrow?",14,"if","news","will","infiorm","vegas","be","the","a","you","to",0.340000000000146,FALSE
"615","Anyone else going to tonight at #viejasarena? See you there!",9,"tonight","at","viejasarena","see","you","the","you","a","least","it",0.0499999999997272,TRUE
"616","Tina Moore and the Just Us Trio tonight at 9:30. All ages, no cover - nothing but great music!",8,"the","just","us","trio","tonight","of","and","to","the","is",0.0399999999999636,FALSE
"617","Tweefer beef going on PLUR is what we live by Peace Love Unity and Respect.",12,"we","live","by","peace","love","the","a","have","in","an",0.0500000000001819,FALSE
"618","I love my neighborhood.",2,NA,NA,NA,"i","love","have","to","was","am","know",0.0199999999999818,FALSE
"619","you know what helps? giving me your EFFing account number. bc I can't find your library card # based on the email address you never gave us.",25,"the","email","address","you","never","to","of","are","can","have",0.0300000000002001,FALSE
"620","U ever get tired of hearing the radio... then start listening to the cds u have, & realize.. u got your cd on repeat just like the radio?",7,"get","tired","of","hearing","the","the","a","and","my","it",0.0399999999999636,TRUE
"621","this weather is horrible",2,NA,NA,NA,"this","weather","is","year","and","time","season",0.0199999999999818,FALSE
"622","#WordsYouWillNeverHearMeSay Obama rocks!",2,NA,NA,NA,"wordsyouwillneverhearmesay","obama","obama","rocks",NA,NA,NA,0.00999999999976353,TRUE
"623","when and where is your next show?",2,NA,NA,NA,"when","and","the","i","you","he","they",0.0199999999999818,FALSE
"624","yes, that is a reference to section 5K1.1 of the federal sentencing guildelines, allows downward departure from typcl jail term",12,"k","of","the","federal","sentencing","of","the","and","to","is",0.0500000000001819,FALSE
"625","ha! That's hilarious.",2,NA,NA,NA,"ha","that's","which","that's","nah","that","article",0,TRUE
"626","come back here! I wanna babysit baby Mariam!",3,NA,NA,"come","back","here","to","the","on","and","of",0.0299999999997453,FALSE
"627","Idc I can't sleep so someone bout to be up wit me dammit *pouts*",4,NA,"idc","i","can't","sleep","have","to","was","am","know",0.0100000000002183,FALSE
"628","Not since the Atari 2600 made it's way into my house in...awhile ago, have I wasted so much time. Angry Birds is the crack of the app world",6,"since","the","atari","","made","of","and","to","is","first",0.0399999999999636,FALSE
"629","im willing to pay:)",2,NA,NA,NA,"im","willing","to","still","sorry","the","not",0,FALSE
"630","I could use a couple of cups of coffee.",2,NA,NA,NA,"i","could","have","to","was","am","know",0.0300000000002001,FALSE
"631","Holland. First stop coffeeshop.",4,NA,"holland","first","stop","coffeeshop","of","in","the","i","time",0.00999999999976353,FALSE
"632","Ima Go Sleep (:",3,NA,NA,"ima","go","sleep","to","a","for","through","with",0.0199999999999818,FALSE
"633","any sub category suggestions? #sex being the topic?",4,NA,"any","sub","category","suggestions","suggestions","of","one","case","more",0.0300000000002001,TRUE
"634","I've been voting all week<3 And guess who is in front of Joe Jonas?! You are<33 Well deserved.",9,"week","and","guess","who","is","the","i","to","a","is",0.0299999999997453,TRUE
"635","So Tweetcaster seems to be working for me. At least it isn't crashing...",2,NA,NA,NA,"so","tweetcaster","i","much","and","many","we",0.0199999999999818,FALSE
"636","Seriously though, Lightning Bolt was a Philip Glass tribute band, right?",5,"seriously","though","lightning","bolt","was","was","the","i","though","can't",0.0399999999999636,TRUE
"637","#nms30 something fun for every little American History learner! www.historyglobe.com/jamestown/",4,NA,"nms","something","fun","for","for","that","i","like","to",0.0300000000002001,TRUE
"638","Nice to be tweeting with you, tell us more about Castleton Christian!",3,NA,NA,"nice","to","be","the","be","a","make","do",0.0399999999999636,TRUE
"639","oh yeah we don't want that :/ lol",8,"don't","want","that","","lol","the","i","is","was","it",0.0300000000002001,FALSE
"640","Lol! I knew something was up!",2,NA,NA,NA,"lol","i","the","i","that","was","but",0,TRUE
"641","RT :David Ferriero wants all of the enormous National Archives digitally available. If it's not digital it doesn't exist.",15,"digitally","available","if","it's","not","you","not","the","a","to",0.0399999999999636,TRUE
"642","thanks for following. What caught ur interest in my profile? Your music site sounds promising.",2,NA,NA,NA,"thanks","for","for","the","to","i","much",0.0199999999999818,TRUE
"643","have u entered the twitterverse??",2,NA,NA,NA,"have","u","a","been","to","the","no",0.00999999999976353,FALSE
"644","A man. A bit older than your Eoin, I guess. But not decripit.",10,"than","your","eoin","i","guess","have","to","was","am","know",0.0399999999999636,FALSE
"645","One aims to achieve complete self-forgetfulness, while at the same time developing complete “mindfulness” of the character....",12,"at","the","same","time","developing","of","and","to","the","i",0.0399999999999636,FALSE
"646","I just ate",3,NA,NA,"i","just","ate","to","have","was","am","know",0.0300000000002001,FALSE
"647","Before you reference your information, ask yourself who is the author.",9,"information","ask","yourself","who","is","is","are","the","has","to",0.0399999999999636,TRUE
"648","Streeter on drop in draft: “I’m extremely hungry. I kind of felt like a lot of people didn’t believe in me even though I believe in myself.""",24,"in","me","even","though","i","the","a","i","and","my",0.0399999999999636,TRUE
"649","Because ACUs are ruddy expensive, and we're already spending $225,000 next week..",12,"already","spending","","next","week","the","year","to","week","time",0.0300000000002001,TRUE
"650","I'm proud of myself :)",3,NA,NA,"i'm","proud","of","to","not","of","a","trying",0.0199999999999818,TRUE
"651","If love isnt a sport, then why are there so many players.? <\3",2,NA,NA,NA,"if","love","you","i","the","they","you're",0,FALSE
"652","having an allergic reaction to one's own perfume is not fun.",11,"own","perfume","is","not","fun","a","to","the","just","not",0.0499999999997272,FALSE
"653","don't matter. Were gonna party just as hard!",8,"gonna","party","just","as","hard","the","a","as","i","much",0.0300000000002001,FALSE
"654","I have a winter coat and flip flops on",4,NA,"i","have","a","winter","of","to","lot","and","few",0.0199999999999818,FALSE
"655","Love, love will keep us together....*breaks record* FUCKING LIES! IF IT WAS TRUE MARIO WOULD BEG ME TO RETURN!",13,"lies","if","it","was","true","a","to","the","was","is",0.0300000000002001,FALSE
"656","top score on putt putt mcdonalds game",7,"on","putt","putt","mcdonalds","game","the","a","my","and","your",0.0199999999999818,FALSE
"657","I absolutely love that song!",3,NA,NA,"i","absolutely","love","have","to","was","am","know",0.0100000000002183,FALSE
"658","Jam lose 109-90 and have been eliminated from the playoffs",10,"been","eliminated","from","the","playoffs","of","and","to","is","first",0.0299999999997453,FALSE
"659","haha!!been up since 4:30 with the birds chirping outside. Lol!!!",6,"up","since","","with","the","the","a","and","my","her",0.0300000000002001,TRUE
"660","Weird that my laptop speakers can play all kinds of things at once. In the 70's our cool stereo system played only one thing at a time.",12,"all","kinds","of","things","at","the","a","and","my","it",0.0299999999997453,FALSE
"661","About to shower...roll up..then go to sleep. One",2,NA,NA,NA,"about","to","the","it","a","to","in",0,TRUE
"662","“Success to me is having ten honeydew melons and eating only the top half of each slice.“~Barbra Streisand",11,"honeydew","melons","and","eating","only","the","i","a","to","it",0.0500000000001819,FALSE
"663","You should be able to restore all the photos from a backup in iTunes",12,"the","photos","from","a","backup","of","lot","and","to","the",0.0499999999997272,FALSE
"664","My favorite part of that meeting, is Pres. Bush's fantastic purple socks",6,"favorite","part","of","that","meeting","the","i","it","is","a",0.0500000000001819,FALSE
"665","I follow you. Would you follow me? Thanks. Much love. Dr. Spanish",3,NA,NA,"i","follow","you","have","to","was","am","know",0.0300000000002001,FALSE
"666","Thomas Alva Edison~ Just because something doesnt do what you planned it to do doesnt mean its useless.",15,"planned","it","to","do","doesnt","the","be","a","make","do",0.0299999999997453,FALSE
"667","Surpassed our #grizzgala fundraising auction goal! Building the OUAA scholarship endowment, thx to sponsors & the great auction donations!",18,"sponsors","","the","great","auction","of","and","to","is","first",0.0300000000002001,FALSE
"668","This is how dedicated to Joss Whedon I am: Cabin in the Woods will be my first in-theater scary movie since Blair Witch. Seriously.",11,"whedon","i","am","cabin","in","have","to","was","am","know",0.0299999999997453,FALSE
"669","ITS A GIRL YAYY!!!",2,NA,NA,NA,"its","a","a","not","own","to","just",0.0199999999999818,TRUE
"670","ready for georgetown",2,NA,NA,NA,"ready","for","for","to","and","i","or",0,TRUE
"671","Santorum pulled out leaving his mark on the back end of the republican side of the race",16,"the","republican","side","of","the","the","a","and","of","my",0.0399999999999636,TRUE
"672","Friday the 13th = quality movies on the tube!",8,"","quality","movies","on","the","the","a","my","and","your",0.0300000000002001,TRUE
"673","BFAR 10 to hold investment forum on mariculture park project in MisOcc - Philippine Information Agency",14,"project","in","misocc","","philippine","the","a","my","his","and",0.0199999999999818,FALSE
"674","Juiced lemons. Simmered w simple syrup n rosemary. Freezing it and flaking w a fork every hour. Adding to champagne bar on Easter.",19,"fork","every","hour","adding","to","to","day","in","a","that",0.0300000000002001,TRUE
"675","Haha, thanks for the RT, I am obviously very excited about these data-related developments :)",3,NA,NA,"haha","thanks","for","for","the","to","i","much",0.0299999999997453,TRUE
"676","There are different standards for different sports. Glad to see Tiger apologize though",2,NA,NA,NA,"there","are","are","is","a","was","and",0.0100000000002183,TRUE
"677","Some of our friends R pathological liars & snakes we could smell venom on their breath and their words are phonier then cubic zirconias",18,"on","their","breath","and","their","the","i","a","to","it",0.0299999999997453,FALSE
"678","Eternal God, help me accept each day, each moment, as a gift from you, not to be wasted. May this season bring us closer to you and to...",15,"a","gift","from","you","not","to","the","a","are","can",0.0500000000001819,FALSE
"679","Funny presentation for Colin Firth since he probably hates Margaret Thatcher just like every other Brit.",2,NA,NA,NA,"funny","presentation","then","game","especially","notes","from",0.0199999999999818,FALSE
"680","Stupid bitches <<<<",2,NA,NA,NA,"stupid","bitches","some","it's","poor","ass","panda",0,FALSE
"681","Make your bucket list now it's the end of the world as we know it. Only 11 months and 21 days. happy new year!",4,NA,"make","your","bucket","list","and","the","to","a","own",0.00999999999976353,FALSE
"682","You're just begging me to unfollow you when you tweet your horoscope.",10,"unfollow","you","when","you","tweet","to","are","can","have","a",0.0300000000002001,FALSE
"683","It's Sunday already? :(",3,NA,NA,"it's","sunday","already","not","a","the","to","like",0.0399999999999636,FALSE
"684","FAC can't advise if FAC isn't informed.",4,NA,"fac","can't","advise","if","wait","the","to","get","believe",0.0300000000002001,FALSE
"685","The Italian writer Antonio Tabucchi dies in Lisbon.",8,"antonio","tabucchi","dies","in","lisbon","the","a","my","his","and",0.0399999999999636,FALSE
"686","sorry ignore the random hash tag lol but still congrats that's great !",3,NA,NA,"sorry","ignore","the","the","for","but","by","angry",0.0199999999999818,TRUE
"687","six million dollar man",3,NA,NA,"six","million","dollar","in","the","games","to","of",0.00999999999976353,FALSE
"688","I'm so sleepy and I gotta get this school thing going... :/",8,"and","i","gotta","get","this","to","the","have","a","was",0.0500000000001819,FALSE
"689","LETS GO #KINGS GO KINGS GO",4,NA,"lets","go","kings","go","to","a","for","through","with",0.0299999999997453,FALSE
"690","And to those making my world a better place. Happy #FF @ @ @",8,"making","my","world","a","better","of","lot","and","to","few",0.0300000000002001,FALSE
"691","I am so excited about this new change. New discounts and savings for you! Our new website will be: www.austinhormonedoctor.com",18,"you","our","new","website","will","york","to","jersey","and","are",0.0500000000001819,FALSE
"692","webinar overload day, 's #ContentDisco is up next",7,"day","'s","contentdisco","is","up","a","the","to","not","that",0.0299999999997453,FALSE
"693","For the record, I came in the top 20%. There is still a tiny chance I'll win if they don't find someone in the top 100.",20,"i'll","win","if","they","don't","you","the","are","have","were",0.0500000000001819,FALSE
"694","wow. That exam was bs.",4,NA,"wow","that","exam","was","the","i","is","was","it",0.0299999999997453,TRUE
"695","I know! How was your trip? Miss you. Would love to catch-up for real one of these days...",10,"trip","miss","you","would","love","to","have","be","are","can",0.0500000000001819,FALSE
"696","I hate biology.",3,NA,NA,"i","hate","biology","have","to","was","am","know",0.00999999999976353,FALSE
"697","Just bought $NNVC on patent approval news",5,"just","bought","nnvc","on","patent","the","a","my","and","your",0.0300000000002001,FALSE
"698","enthusiastic teachers were the bane of my childhood existence...",7,"were","the","bane","of","my","the","a","and","of","my",0.0399999999999636,TRUE
"699","I know, right? I really liked Rachel's English accent... :-)",2,NA,NA,NA,"i","know","have","to","was","am","know",0.0100000000002183,TRUE
"700","It's rainy out here on the East Coast, thank God for wigs!! Lol",10,"the","east","coast","thank","god","of","you","and","to","is",0.0199999999999818,FALSE
"701","for my birthday I would like you to answer all my phone calls with the Rachael Bowen hey for 365 days.",18,"with","the","rachael","bowen","hey","of","and","to","is","the",0.0599999999999454,FALSE
"702","Fuck this sun!",3,NA,NA,"fuck","this","sun","is","year","and","time","season",0.00999999999976353,FALSE
"703","It is true! You do good things. Always have. Now you get to do even more! THAT is wonderful and appropriate and deserved.",10,"good","things","always","have","now","a","been","to","the","no",0.0500000000001819,FALSE
"704","I hate it when I don't feel like talking and people just keep on talking to me -.-",14,"and","people","just","keep","on","the","a","to","i","it",0.0499999999997272,FALSE
"705","I mean, Second Mile is funding Sandusky's defense, refusing to turn over internal records on clients and victims. Why is this not a story?",11,"sandusky's","defense","refusing","to","turn","the","be","a","make","do",0.0100000000002183,FALSE
"706","Hahahahahaha so close I did this one.... 💑",5,"hahahahahaha","so","close","i","did","have","to","was","am","know",0.0500000000001819,FALSE
"707","Try the eggplant fries too.",2,NA,NA,NA,"try","the","to","the","and","it","not",0,TRUE
"708","#IThankGod for my family and friends:)",2,NA,NA,NA,"ithankgod","for",NA,NA,NA,NA,NA,NA,FALSE
"709","i seriously want it to be Saturday already",6,"seriously","want","it","to","be","the","be","a","make","do",0.0299999999997453,TRUE
"710","Just added some interesting articles at www.bowlingdo.com... also have new retail site at www.shopbowling.com",5,"just","added","some","interesting","articles","of","the","more","to","other",0.0300000000002001,FALSE
"711","Time to get down to #business...JenoLo Clothing coming in 12 days",3,NA,NA,"time","to","get","the","be","a","make","do",0.0299999999997453,FALSE
"712","Congrats to : WCHA reg season champs! One more win or Minn loss gives UW outright title. #Badgers home next wknd to host OSU",15,"or","minn","loss","gives","uw","a","the","you","to","of",0.0300000000002001,FALSE
"713","omfg Raven and Hilary are my favorite Disney stars. I had a feeling!",3,NA,NA,"omfg","raven","and",NA,NA,NA,NA,NA,NA,FALSE
"714","Proud Momma Alert: My 6th grade son won the school-wide (K-8) science fair! Goes to school district regionals this Friday!",4,NA,"proud","momma","alert","my","my","of","that","momma","it",0.0299999999997453,TRUE
"715","that pic was actually from Denver",5,"that","pic","was","actually","from","a","the","to","in","i",0.0300000000002001,FALSE
"716","I can't sweat it cause I know I'm going to work this out",9,"cause","i","know","i'm","going","to","have","was","am","know",0.0500000000001819,FALSE
"717","Fuck these dumb ass trays",3,NA,NA,"fuck","these","dumb","are","guys","people","were","things",0.0199999999999818,FALSE
"718","that's great! I know u r.",4,NA,"that's","great","i","know","have","to","was","am","know",0.0299999999997453,TRUE
"719","okay 😊 we found a lot on the beach",8,"found","a","lot","on","the","the","of","a","and","my",0.0399999999999636,TRUE
"720","QA - Algorythmic vs aesthetic dataviz: equally subjective? Both predicated on statistics, q of objects vs patterns",8,"vs","aesthetic","dataviz","equally","subjective","good","fine","deafening","what","cyberterrorism",0.0199999999999818,FALSE
"721","A girl came in and handed me an application....",2,NA,NA,NA,"a","girl","of","lot","to","and","few",0.0199999999999818,FALSE
"722","nah don't say that...you gotta come to Vegas first lol jk.....it'll prolly be Bobby Brown tho lmao lemme stop",7,"say","thatyou","gotta","come","to","to","out","with","over","a",0.0100000000002183,TRUE
"723","Interdependency follows independence. -Stephen Covey",3,NA,NA,"interdependency","follows","independence","the","life","tshirts",NA,NA,0,FALSE
"724","Would have to know investment, objectives, metrics, etc.",2,NA,NA,NA,"would","have","be","have","like","to","the",0.0199999999999818,TRUE
"725","Sure-- but then what's the point of the various ""time windows"" for elites? If you have ""A"" available why not confirm me?",5,"sure","but","then","what's","the","i","the","it","we","they",0.0399999999999636,TRUE
"726","""Excellence is a guilty pleasure, bringing confidence and peace of mind""",9,"pleasure","bringing","confidence","and","peace","the","i","a","to","it",0.0500000000001819,FALSE
"727","I think there was a bit of mystification about the material facts of making, which is (I agree) odd considering what CP is.",10,"bit","of","mystification","about","the","the","a","it","and","to",0.0299999999997453,TRUE
"728","Hahahahhahahahahahahahahhaha RT : Can you still experiment in your thirty's?",10,"still","experiment","in","your","thirty's","the","a","and","my","to",0.0500000000001819,FALSE
"729","Look forward,not back.Focus on the future not the past❤",6,"forwardnot","backfocus","on","the","future","of","and","the","to","is",0.0299999999997453,FALSE
"730","Going to be on during the 6oclock hour! Listen in!",10,"the","oclock","hour","listen","in","of","and","to","is","first",0.0500000000001819,FALSE
"731","I swear I have no black clothes... Ugh",3,NA,NA,"i","swear","i","have","to","was","am","know",0.00999999999976353,FALSE
"732","Soccer on ice? That's probably the only way you'd get me to watch it! I'm a 100% hockey fan :-)",3,NA,NA,"soccer","on","ice","the","a","my","and","your",0.0199999999999818,FALSE
"733","Have MITT ROMNEY ever had a PLAN OF ACTION or A SOLUTION. I can see myself being rolled into surgery and being told, ""YOU ARE OWN YOUR OWN.""",17,"i","can","see","myself","being","have","to","the","was","am",0.0500000000001819,FALSE
"734","I have many mornings like that Some days more dead than others some more confused, some more stupid, some just lost altogether",13,"more","dead","than","others","some","than","the","a","people","some",0.0399999999999636,TRUE
"735","Coverage of the Orlando Predators vs. Pittsburgh Power begins in just three hours on Check it",10,"vs","pittsburgh","power","begins","in","to","then","according","july","what",0.0300000000002001,FALSE
"736","Black Friday!",2,NA,NA,NA,"black","friday","friday","currant","currants","and","adults",0,TRUE
"737","Effin birds did a number on my car this morning... Bout to wash that ish😒",2,NA,NA,NA,"effin","birds","birds","did",NA,NA,NA,0,TRUE
"738","yup, I feel ZERO responsibility for YOUR trauma. I finally get to point & laugh.",2,NA,NA,NA,"yup","i","i","feel",NA,NA,NA,0.00999999999976353,TRUE
"739","if u have 13 ice cubes and i have 38, how many pancakes will fit on my roof? The answer is purple because aliens don't where hats.",24,"answer","is","purple","because","aliens","the","a","of","to","it",0.0399999999999636,FALSE
"740","I'm bored at home.",3,NA,NA,"i'm","bored","at","to","not","a","trying","going",0.0300000000002001,FALSE
"741","Undersea cable bill gets 1 last chance in Senate",2,NA,NA,NA,"undersea","cable",NA,NA,NA,NA,NA,NA,FALSE
"742","Whoa one direction is having a arena tour in 2013 yay lol",3,NA,NA,"whoa","one","direction","of","the","day","in","is",0.0299999999997453,FALSE
"743","#whatwillgagawear what ever is laying on the side of the road",11,"the","side","of","the","road","of","the","and","to","is",0.0300000000002001,FALSE
"744","i make money money make money money ayy",6,"make","money","money","make","money","the","a","it","sure","money",0.0500000000001819,TRUE
"745","Wolf Gang is neither a Wolf nor a Gang. Discuss.",2,NA,NA,NA,"wolf","gang","gang","nor","a","is",NA,0,TRUE
"746","yeah and ain't missed nothing smh",2,NA,NA,NA,"yeah","and","i","and","my","we","so",0,TRUE
"747","or can u help me get more followers? It would ne awesome :)",10,"get","more","followers","it","would","was","is","to","a","the",0.0399999999999636,FALSE
"748","are they beefing over sports? i am late.",7,"beefing","over","sports","i","am","have","to","was","am","know",0.0299999999997453,TRUE
"749","Malaysia mosque a source of hope for heroin addicts - Chicago Tribune",12,"heroin","addicts","","chicago","tribune","marathon","the","in","this","said",0.0399999999999636,FALSE
"750","yes, we're finising it up now. Not as cumbersome as it was made out to be.",9,"up","now","not","as","cumbersome","the","a","as","i","much",0.0300000000002001,FALSE
"751","It was indeed!",2,NA,NA,NA,"it","was","was","is","a","to","the",0.00999999999976353,TRUE
"752","Any of your friends need some new music?Tell them to check us out on Spotify. It's free and awesome!",4,NA,"any","of","your","friends","the","a","and","my","it",0.0500000000001819,FALSE
"753","dude i'm freakiing out! idk how to do it onmy own! :'(",9,"idk","how","to","do","it","the","be","a","make","do",0.0300000000002001,FALSE
"754","You waist time trying to be someone else, it takes no time to be YOUR self....",10,"be","someone","else","it","takes","was","is","a","to","the",0.0499999999997272,FALSE
"755","why? You want to still be friend?",7,"want","to","still","be","friend","the","a","to","be","in",0.0399999999999636,FALSE
"756","Huge congratulations to new law graduates, and remember to thank your mother!",9,"law","graduates","and","remember","to","the","i","a","to","it",0,TRUE
"757","in Ghostwriter app when you move away the iPen from screen you can turn page, zoom in and out. I meant the iOS iPad multi-touch.",14,"from","screen","you","can","turn","be","a","to","can","are",0.0500000000001819,FALSE
"758","Simple little kind of free",4,NA,"simple","little","kind","of","of","in","to","on","bits",0.0299999999997453,TRUE
"759","If you let words hurt you, you a lil (b word). Use those words to make you stronger.",9,"hurt","you","you","a","lil","of","to","lot","and","few",0.0300000000002001,FALSE
"760","Ready to go -____-",3,NA,NA,"ready","to","go","the","be","a","make","do",0.329999999999927,FALSE
"761","Follow my new flick written by !",6,"my","new","flick","written","by","york","and","jersey","to","life",0.0500000000001819,FALSE
"762","no it's okay! Don't feel bad!",6,"it's","okay","don't","feel","bad","like","the","know","think","and",0.0299999999997453,FALSE
"763","i'm not gonna be here much longer... :(",7,"gonna","be","here","much","longer","as","to","in","the","a",0.0500000000001819,FALSE
"764","I had to Hang up on Charles...that nigga be Snoring too Loud lulz",4,NA,"i","had","to","hang","the","be","a","make","do",0.0299999999997453,FALSE
"765","What up Woo",3,NA,NA,"what","up","woo","to","the","a","i","and",0.0300000000002001,FALSE
"766","I am today...not tomorrow though.",3,NA,NA,"i","am","todaynot","have","to","was","am","know",0.0199999999999818,FALSE
"767","WOW Grany g is hillarious in",5,"wow","grany","g","is","hillarious","a","the","to","not","that",0.0399999999999636,FALSE
"768","ive been with the family",4,NA,"ive","been","with","the","the","a","and","my","her",0.0199999999999818,TRUE
"769","he better watch out I might eat his too.",8,"out","i","might","eat","his","have","to","was","am","know",0.0300000000002001,FALSE
"770","look forward to your #SocialMedia tweets!",6,"forward","to","your","socialmedia","tweets","the","be","a","make","do",0.0499999999997272,FALSE
"771","wow, what a smile! And I can't forget the hottie!!!! :-)",10,"i","can't","forget","the","hottie","of","and","to","is","first",0.0399999999999636,FALSE
"772","why the :(",2,NA,NA,NA,"why","the","i","you","the","is","don't",0.0199999999999818,TRUE
"773","oh I know... But I don't mean like that. She works at a television station here. She's adorable and it's a boy!",14,"she","works","at","a","television","of","the","lot","to","and",0.0500000000001819,FALSE
"774","I still can't get over it yet. Honestly that is going to stick with me for a few days. Its almost belief changing. :-(",5,"i","still","can't","get","over","to","the","a","have","it",0.0300000000002001,FALSE
"775","make it crack then nigga!! (at least tweet sum pg dead dan a mf lol)",10,"at","least","tweet","sum","pg","the","a","least","home","all",0.0399999999999636,FALSE
"776","Told to stray away from what I am, said the world would never take it. Design a mold for me to fit and watch me break it.",2,NA,NA,NA,"told","to","me","us","that","him","to",0.0199999999999818,TRUE
"777","Cyberdating in China: Woman w/ duck's egg face seeks handsome devil, not from Wuhan, no Virgos. Illuminating piece on ""#romance by",16,"not","from","wuhan","no","virgos","the","matter","a","one","more",0.0299999999997453,FALSE
"778","Does anyone else remember when the best place to watch movie trailers was apple.com?",11,"best","place","to","watch","movie","the","be","a","make","do",0.0500000000001819,FALSE
"779","You know me all to well.",4,NA,"you","know","me","all","to","the","i","and","my",0.00999999999976353,FALSE
"780","please follow Artie so happy to see you again xo",9,"happy","to","see","you","again","the","a","to","be","are",0.0300000000002001,FALSE
"781","total ""duh""",2,NA,NA,NA,"total","duh","is","he","up","used","white",0.0199999999999818,FALSE
"782","Looks like Astros want to be like Larussa & cards!",6,"like","astros","want","to","be","the","be","a","make","do",0.0300000000002001,TRUE
"783","Go back to India",2,NA,NA,NA,"go","back","to","a","for","through","with",0.0199999999999818,FALSE
"784","holy shit ya someone DMd me some pics and crazy shit u I had a feeling u didn't send it",19,"a","feeling","u","didn't","send","of","to","get","lot","and",0.0399999999999636,FALSE
"785","I dont regret a second i spent with you.<3",9,"second","i","spent","with","you","the","a","and","have","to",0.0299999999997453,FALSE
"786","& Sick dancing last night guys, it was great seeing you guys.",4,NA,"","sick","dancing","last","in","that","or","across","several",0.0199999999999818,FALSE
"787","RNWK down 7.5% on news of my departure (perhaps slightly influenced by earnings release).",10,"of","my","departure","perhaps","slightly","the","a","and","my","it",0.0300000000002001,FALSE
"788","PLEASE FOLLOW AND TELL HER I SENT YU! SHES A HUGE 1D FAN! AND AMAZING AT SINGING! FOLLOW FOLLOW FOLLOW",10,"i","sent","yu","shes","a","have","to","was","am","know",0.0499999999997272,FALSE
"789","Oh, I like that process! Naturally allows for more focus by students on each type. Also love the ""TARGET"" idea fr earlier tweet.",21,"love","the","target","idea","fr","of","and","to","is","first",0.0300000000002001,FALSE
"790","Our marriage functions through Twitter. It's the only way we can be sure we're reaching one another.",15,"can","be","sure","we're","reaching","to","a","the","in","that",0.0500000000001819,FALSE
"791","It's thoughts like this that catch my troubled head when you're away when I am missing you to death",10,"catch","my","troubled","head","when","and","the","of","life","to",0.0299999999997453,FALSE
"792","I'm up even though I know my body is gonna feel the lack of sleep I should be getting later.",3,NA,NA,"i'm","up","even","to","a","the","and","with",0.0100000000002183,FALSE
"793","I figured you'd get a kick out of it lmfao",8,"get","a","kick","out","of","of","the","lot","on","in",0.0499999999997272,TRUE
"794","Let's go to da' beach this summer sister!! Family vaca? I think so(:",4,NA,"let's","go","to","da'","the","be","a","make","do",0.0500000000001819,FALSE
"795","Hey #TT, I need tips/a web-site for finding last minute international travel when you don't really care exactly you go. Help!",4,NA,"hey","tt","i","need","have","to","was","am","know",0.00999999999976353,FALSE
