"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"292","Besides taking the opportunity to vent about a situation that I find very frustrating, this story seems to me worth telling because it provides something of a parable of the contradictions involved in being a professor of popular music. It's my job to try to cultivate a more sophisticated understanding of popular music and the larger media system through which it's produced. But to do so, I need resources of a sort that are pretty common outside the academic setting but far less so inside. Adding to that, it's important for me not to take the supposedly inevitable tide of technological ""progress"" as a given. Just because the corporations that earn enormous profits from the production of new technologies have deemed some particular item or format to be obsolete doesn't mean that we should all follow suit. Vinyl may be, in the end, just another commodity item, no more no less, but it was also a dominant form in which people experienced music for the better part of a century, and the notion that we should all dispense with our vinyl archives because of changing media is folly.","besides taking the opportunity to vent about a situation that i find very frustrating",15,"this","things","story",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"293","3) An employee was hosing off the drive thru area and apparently the older man ahead of me didn't want to be in his way. He stopped his car at least 6 feet from the speaker and was at an awkward angle where I doubt his car could be seen on the monitor inside.","an employee was hosing off the drive thru area and apparently the older man ahead of me didnt want to be in his way he stopped his car at least feet from the speaker and was at an awkward angle where i doubt his car",46,"could","get","drive","now","week","year","back","people","think","still","seen",0.0300000000061118,FALSE
"294","In addition to the death benefit, living benefits life insurance policies offer the trifecta of terminal, chronic and critical illness financial protection for insureds and their families. Used as an alternative to traditional long term care insurance, indexed universal life insurance products with living benefits can provide dollars for chronic illness with the added benefit of cash value buildup. Clients who balk at paying a hefty LTC insurance premium may be more than willing to purchase a living benefits index universal life policy as it can provide significant cash value if the policy is surrendered.","in addition to the death benefit living benefits life insurance policies offer the trifecta of terminal chronic and critical illness financial protection for insureds and their families used as an alternative to traditional long term care insurance indexed universal life insurance products with living benefits can provide dollars for chronic illness with the added benefit of cash value buildup clients who balk at paying a hefty ltc insurance premium may be more than willing to purchase a living benefits index universal life policy as it can provide significant cash value if",92,"the","money","say","business","world","ever","policy","maybe","housing","leading","somewhere",0.0299999999988358,FALSE
"295","In our twisted society the demands of our parents to achieve, to surpass, to excel, to get more material stuff than your fellow neighbour are all seen as commonly accepted things...? In Buddhism, they teach that 'material possessions, kill the soul.'","in our twisted society the demands of our parents",10,"to","fight","can","just","really","always","phone","since","friends","big","knows",0.0199999999967986,FALSE
"296","What really pisses me off, is that it has taken until now for the people of this once great nation to take a stand, and that the stand is being taken against white, Christian Europeans. If, instead of Italian and Polish workers, these jobs had been given to non-European immigrants from Africa, Asia or the Caribbean would the Politically correct brain washing have kicked in, and would those now protesting stayed at home to watch “Hustle” or some other Common Purpose approved propaganda with a take away curry. I hope not, but I fear so.","what really pisses me off is that it has taken until now for the people of this once great nation to take a stand and that the stand is being taken against white christian europeans if instead of italian and polish workers these jobs had been given to noneuropean",50,"immigrants","time","much","us","point","will","just","one","free","away","world",0.0400000000008731,FALSE
"297","Don’t be afraid to look around at different stores or internet retailers. Look to see what the prices are at each store before you decide to make a purchase. If you are looking online, don’t forget to add taxes and shipping/handling to your final cost. Amazon and NewEgg might have the same product at the same price, but if Amazon is giving you free shipping, then in the end that is who you should go to.","don’t be afraid to look around at different stores or internet retailers look to see what the prices are at each store before you decide to make a purchase if you are looking online don’t forget to add taxes and shippinghandling to your final cost amazon and newegg might have the same product at the same price but if",60,"amazon","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"298","These are a few of my final images from my most recent piece of work looking at my relationship with nature.","these are a few of my final images from my most recent piece of work looking at",18,"my","forward","back","around","across","like","new","just","things","always","great",0.0299999999988358,FALSE
"299","So, if you would like me to send you a cute Christmas card, simply send me your postal address and I'll send you one towards the end of November :) I'd email your address to me rather than comment with it below (Esshaych@hotmail.co.uk), as you don't want everyone seeing your address lol!","so if",3,"you","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"300","One of the world’s most exclusive, luxury clothing brands, Thomas Pink, debuts in South Africa this season with the opening of its first store on African soil at Hyde Park Corner in Johannesburg.","one of the world’s most exclusive luxury clothing brands thomas pink debuts in south africa this season with",19,"the","now","go","way","even","life","right","months","long","spent","took",0.0299999999988358,FALSE
"301","My last dog, Chase, was a golden retriever (or as I referred to him “Love of my life”). He ate up the adoration. Long before he was fully grown, it became clear he did not realize he was a dog, and I wasn’t going to break it to him…considering I was the one feeding him off my plate and baby-talking to my “Chaser-doodle-puppy-wuppy”. This quintessential family pet was the constant sidekick everyone gathered around at each soccer game to pet and spoil.","my last dog chase was a golden retriever or as i referred to him “love of my life” he ate up the adoration long before he was fully grown it",31,"became","will","friends","fine","man","children","within","became","addicted","professional",NA,0.0599999999976717,TRUE
"302","When the weather turns cool, I sit in my "" Good Room"" I suppose you could call it my Parlour, I just love to be surrounded by special things! It is definitely worth the effort to make your home beautiful, because it is not just yours, but your familys sanctuary..","when the weather turns cool i sit in my good room i suppose you could call it my parlour i just love",23,"to","love","god","much","new","just","life","work","spending","can","one",0.0200000000040745,FALSE
"303","With the long weekend that's comin' up fast","with the long weekend thats",6,"comin","just","today","need","going","bit","good","really","another","one","better",0,FALSE
"304","This is just a glimpse of my crazy brain. Needless to say I was in an unhealthy state regarding my relationship with food, one that had been taking place for several years prior to coming to Portland.","this is just a glimpse of my crazy brain needless to say",13,"i","that","it","yes","the","about","we","but","they",NA,NA,0.0499999999956344,FALSE
"305","Our lab instructor told us that most patients won't need help with perineal care and prefer to take care this themselves. As our course packet helpfully suggests, ""Most patients understand what is meant is the nurse simply says, 'I'll give you a washcloth to finish your bath.'"" Later I was saying that suggested phrasing is helpful. Of course someone was going to hear that as suggestive phrasing. Hilarity ensued.","our lab instructor told us that most patients wont need help with perineal care and prefer to take care this themselves as our course packet helpfully suggests most patients understand what is meant is the nurse simply says ill give you",42,"a","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"306","I wrapped a few with burlap and string and placed them","i",2,"wrapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"307","Or it might mean having a serious go at self-publishing. Many are seizing the opportunity to publish or re-publish their own books. For some, this is a bold and exciting step forward. For others it may be a last resort. Either way, some authors are beginning to do very well from it.","or it might mean having a serious go at selfpublishing many are seizing the opportunity to publish or republish their own books for some this is a bold and exciting step forward for others it may be a last resort either way some",44,"authors","life","know","get","just","like","can","back","home","around","much",0.0100000000020373,FALSE
"308","My father and old brother just stood off to the side, saying little. ""My little brother is going to be so much cooler and funnier than me."" my brother remarked prophetically.","my father and old brother just stood off to the",11,"side","point","front","other","world","next","school","people","right","us","big",0.0199999999967986,FALSE
"309","We want to you share this special character or book/series with us and your followers. Tell us about them: share pictures, passages, quotes, excerpts, etc. Then offer that book as a giveaway to share the love. We all want the chance to be besotted, carried away, and/or charmed. So, introduce us to that special character that has left you love-struck.","we want to you share this special character or bookseries with us and your followers tell us about them",20,"share","believe","know","just","can","little","military","see","time","much","back",0.0300000000061118,FALSE
"310","In true optimist fashion, I've decided to post a few of the things I'm most looking forward to about our move.","in true optimist fashion",5,"ive","last","ive","spent","model","sense","beach","canvases","blogger","breathren","weirdo",0.0299999999988358,TRUE
"311","After all the company, which is largely owned by Taib’s cousin and nominee, multi-millionaire Hamed Sepawi, has produced a series of financial losses in the state.","after all the company which is largely owned by taib’s cousin and nominee multimillionaire",15,"hamed","elena",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"312","I had some goals to workout just as much and eat well on my week off Feb. weight loss challenge. I however did not stick to them. I let stress get to me and had a few days where I ate some junk food and drank a couple sodas. I also only exercised about three of the days. I surprisingly lost a half a pound still even on my week off. So I am thinking building some muscle doing more strength training is helping me burn calories easier. I am totally ready for this challenge again. So I am going to blog once again while I am doing the 21 Day Mommy Bloggers Weight Loss Challenge, sponsored by Dustin Maher.","i had some goals to workout just as much and eat well on my week off feb weight loss challenge i however did not stick to them i let stress get to me and had a few days where i ate some junk food and drank a couple sodas i also only exercised about three of the days i surprisingly lost a half a pound still even on my week",71,"off","off",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"313","Morello: What was yesterday?","morello what",3,"was",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"314","One of the many reasons I started this blog was to connect with people and share stories and info about running. It’s mostly been one-way but I get that people are scared to share their stories and comments. I get it, I was like that. But this little exercise in public writing has helped me quite a bit. And I’ve connected with people who I wouldn’t have otherwise. So it’s not all bad!","one of the many reasons i started this blog was to connect with people and share stories and info about running it’s mostly been oneway but i get that people are scared to share their stories and comments i get it i was like that but this little exercise in public writing has helped me quite a bit and i’ve connected with people who i wouldn’t",67,"have",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"315","And that strength is even more available to us today, because God has expressed his character most vividly in Christ (Heb. 1:1-3).","and that strength is even more available to us today because god has expressed his character most vividly",19,"in","christ","portrayed",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"316","The pragmatic and the ideal are one and the same.","the",2,"pragmatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"317","“Can I tell you something?” I asked him.","“can i",3,"tell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"318","At the guide’s feet was a thin, white line, perhaps two inches wide, that was comprised of some kind of granular powder. It stretched off in either direction, curving away into the fiery haze of the silent, dead wood. “Is that salt?” Stolik asked, nudging it with his toe.","at the guide’s feet was a thin white line perhaps two inches wide that was comprised of some kind of granular powder it stretched off in either direction curving away into the fiery haze of the silent dead wood “is",41,"that","panelling","line","making","fire","polish","practice","furniture","cleaner","guardsman",NA,0.0299999999988358,FALSE
"319","Pacific National Exhibition Park, Vancouver, Canada - April 8th, 1975 source #1","pacific national exhibition park vancouver canada april th",9,"source","century","anniversary","time","birthday","june","percentile","day","year","post","just",0.0100000000020373,FALSE
"320","“You can re-use the covers and switch up the insert so you are saving on laundry and energy.”","“you can reuse the covers and switch up the insert so you",13,"are","can","know","are",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"321","John G. Farrell, 32, New York, N.Y.","john g farrell new york",6,"ny","times","city","ny","are",NA,NA,NA,NA,NA,NA,0.0500000000029104,TRUE
"322","It was a good week for mail. It's starting to trickle back in a little faster than it was a couple of weeks ago, thank goodness!","it was a good",5,"week","idea","time","way","story","day","week","thing","friend",NA,NA,0.0100000000020373,TRUE
"323","Oh, it’s WandErection, I mean, One Direction… Never heard of them…","oh it’s wanderection i mean one direction� never",9,"heard","get","really","forget","heard","will","want","find","seen","ever","took",0.0199999999967986,TRUE
"324","Baldrick: ""What I want to know sir is before there was a Euro there were lots of different types of money that different people used. And now there's only one type of money that the foreign people use. And what I want to know is, how did we get from one state of affairs to the other state of affairs""","baldrick what i want to know sir is before there was a euro there were lots of different types of money that different people used and now theres only one type of money",34,"that","that",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"325","I wonder what Kevin Donlan has in mind when he speaks of “a new model for a new day.” I have finished a careful study of the new Rwandan canons and the Anglican Mission canonical charter. They evidence the strong influence of the Roman Catholic Code of Canon Law in language, doctrine, norms, and principles. In a number of places the Rwandan canons clearly are repudiation of the Thirty-Nine Articles and of authentic historic Anglicanism, and embrace in their place the dogmas of the Council of Trent. The provisions governing the relationship of the Rwandan Primate with Anglican Primatial Vicar Chuck Murphy are based upon the provisions of the Roman Catholic Code of Canon Law governing the relationship of the Pope to lesser bishops of the Roman Catholic Church. This causes me also to wonder what part Donlan himself played in their formulation.","i wonder what kevin donlan has in mind when he speaks of “a new model for a new day” i have finished a careful study of the new rwandan canons and the anglican mission canonical charter they evidence the strong influence of the roman catholic code of canon law in language doctrine",53,"norms","life","complete","thoughts","fell","deals","islam","norms",NA,NA,NA,0.0199999999967986,TRUE
"326","It was still quite cool out, especially on the shore of Lake Erie whose water temperature is still in the 40s. That didn’t stop the other beachcombers from wandering along the water’s edge looking for interesting looking rocks and beach glass.","it was still quite cool out especially on the shore of lake erie whose water temperature is still in the s that didn’t stop the other beachcombers from wandering along the",32,"water’s","way",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"327","Of course I made a rule of not going near the actual balcony under any circumstance. No matter how big the bubbles were! Of course I kept a good eye on them to ensure they kept with the rules! There was never any problem. But they are good kids!","of course i made a rule of not going near the actual balcony under any circumstance no matter how big the bubbles were of course i",27,"kept","first","plenty","know","much","people","way","think","still","tell","one",0.0500000000029104,FALSE
"328","The only thing I might change (but I love my journey and wouldn't REALLY change anything) is I would have learned about the term unschooling sooner, and maybe been introduced to authors like John Holt.","the only thing i might change but i love my journey and wouldnt really change anything is i would have learned about the term unschooling sooner and maybe been introduced to",32,"authors","new","feel","number","steampunk","north","france","described","authors",NA,NA,0.0100000000020373,TRUE
"329","so what are you totally loving this week?","so what are you",5,"totally","playing","shootin",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"330","It makes me think it may just be an interesting year.","it makes me think it may just be an interesting",11,"year","see","voices","year","much","way","thing","got","even","lot","question",0.0299999999988358,TRUE
"331","Daft punk is playing at my house","daft",2,"punk","punk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"332","Kerri says that's in case of swelling, and a full cast will go on for another five weeks after review.","kerri says thats in case of swelling and a full",11,"cast","story","moon","time","year","good","use","hour","team","report","grey",0.0200000000040745,FALSE
"333","You may have been wondering why I have not been so active here on my Blog. Well, I've had a lot going on in my life right now and a few projects as well.","you may have been wondering why i have not been so active here",14,"on","media","blog","come","technologies","volcanism",NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"334","We arrive home without further incident and it's the strangest sensation. We've twitched and sweated against the restrictions of curfew for two days, yet while we were out for the brief official break, we were jumpy and anxious to get back to the relative safety of our yard. Then, as soon as we're back, we fret, wanting to go out again. Especially as the pressure we're all under, freaked and forced into such close company with one another, means that tensions in the house simmer below the surface at all times, breaking out into frequent arguments that I have to try to mediate.","we arrive home without further incident and its the strangest sensation weve twitched and sweated against the restrictions of curfew for two days yet while we were out for the brief official break we were jumpy and anxious to get back to the relative safety of our yard then as soon as were back we fret wanting to go",60,"out","to","back","with","out","for","on","into","home","and","but",0.0100000000020373,TRUE
"335","Grilled Wild Salmon With Fennel, Leeks","grilled",2,"wild","cheese","hamburgers","wild","pimiento","starless",NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"336","happy chance","happy",2,"chance","see","new","chance","know","go","just","really","one","even","happy",0.0299999999988358,TRUE
"337","Ground black pepper to taste","ground black pepper to",5,"taste","taste",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"338","Victory Brewing Company Storm King Stout","victory",2,"brewing","comes","won","everyday","brewing","raised","lap","winless",NA,NA,NA,0.0100000000020373,TRUE
"339","On September 11, 2002 I was walking through Ground Zero in New York City, where the Twin Towers had been attacked just a year ago by terrorists. As I was standing there watching people go through all those feeling and emotions of sadness, I discovered the style of photography that I love and feel passionate about–street photography.","on september i was walking through ground zero in new york city where the twin towers had been attacked just a year ago by terrorists as i was standing there watching people go through all those feeling and emotions of sadness i discovered the style",46,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0400000000008731,TRUE
"340","but i will also have 2 days a week with THREE kids in school.","but i will also have days a week with",10,"three","little","new","large","few","bit","look","man","full","vintage","huge",0.0400000000008731,FALSE
"341","Dry Dock Brewing Co. Alexander Nevesky Russian Imperial Stout","dry",2,"dock","enough","mine","wall","especially","aged","wet","skin","champagne","dock","ingredient",0.0199999999967986,TRUE
"342","Brainstorm businesses and organization that might be interested in your book. What company or group would most benefit from your book?","brainstorm",2,"businesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"343","We played several games, one of our favorites is Headbanz, a funny game where you ask questions trying to figure what object/thing/animal is on your head...its really fun to play! Unfortunately didn't get a picture of Mom and Dad but we were all in on the game!","we played several games one of our favorites is headbanz a funny game where you ask questions trying to figure what objectthinganimal is on your headits really",28,"fun","good","like","need","really","want","feel","care","great","enjoyed","sure",0.0200000000040745,FALSE
"344","I was just about to tell him that I wasn't here for him when all of a sudden he did a face plant onto the curb. I heard his face hit and then I heard the group of people moan. Then I saw the look of horror on their faces as the poor guy stood up. I could see why the horrified look on their faces as he turned to look at me. His lip was cut and spurting blood, his eye was beginning to swell as if someone was blowing up a balloon and his forehead had so much blood leaking from a gash that it looked like a road map. He just sort of looked at me with this dazed and confused smile, turned and walked away.","i was just about to tell him that i wasnt here for him when all of a sudden he did a face plant onto the curb i heard his face hit and then i heard the group of people moan then i saw the look",46,"of","like","back","good","forward","see","just","around","hope","left","pretty",0.0299999999988358,FALSE
"345","In her article, ‘Should the church connect with the Occupy movement?’, St. Francis of Assisi Pastoral Administrator Valerie Chapman, whom at least one local journalist erroneously identifies as “pastor” of the Southwest Portland parish, attempts to convince readers that Catholic Social Teaching tends to support the work(s) of Occupy Wall Street.","in her article ‘should the church connect with the occupy movement’ st francis of assisi pastoral administrator valerie chapman whom at least one local journalist",26,"erroneously","never",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"346","Bertie eyed the entrails hungrily. “If you don’t want to, I could finish it off for you?” he offered gallantly, already starting to skulk forward. Reginald narrowed his eyes. Bertie waited. “All the same, Bertie, I need to eat it all,” Reginald sniffed delicately, turning his head away with mild distaste, ”however much it may pain me to consume the revolting morsels,” he added and then looked incredulously at the bare ground where the revolting morsels were no longer in evidence. “Thanks a lot Bertie!” he hissed. “You are such a liability. And a major pain in the scruff.“","bertie eyed the entrails hungrily “if",7,"you","hungrily",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"347","“I’m sorry my transporter was malfunctioning, alright what’s the big emergency?","“i’m sorry my transporter was malfunctioning alright what’s the big",11,"emergency","city","apple","blue",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"348","Well look no further!","well look no",4,"further","like","back","good","forward","see","just","around","hope","left","pretty",0.0299999999988358,FALSE
"349","With their virtual abandonment of melody and a typical song structure, this stuff is as wild and raw as music gets. In fact, I think the only one term we can use to commodify these tracks: let's call it Free James Brown.","with their virtual abandonment of melody and a typical song structure this stuff is as wild and raw as music gets in fact i think",26,"the","the","it","im","that","of","this","its","ive","my","you",0.0300000000061118,TRUE
"350","My life has had it's fair share of trials. But, I know they all have refined me. I know those trials are not yet over, and I still have much refining to go. I am thankful God cares enough to see me though the trials and can't wait until he can see His whole reflection when He looks at me...","my life has had its fair share of trials but i know they all have refined me i know those trials are not yet over and i still have much refining to go i am thankful god cares enough to see me though the trials and cant wait until he",51,"can","can",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"351","“The insurgency’s safe haven in Pakistan, as well as the limited capacity of the Afghan government, remain the biggest risks to the process of turning security gains into a durable and sustainable Afghanistan,” according to the report.","“the insurgency’s safe haven in pakistan as well as the limited capacity of the afghan government",17,"remain","never","know","new","one","find","right","country","let","remain","used",0,TRUE
"352","I've been away from the blog for so long, let's see if I remember how this goes......","ive been away from the blog",7,"for","post","hop","now","im","open","called","candy","iheart","links","prior",0.0199999999967986,FALSE
"353","My daughter and I made these books. They are our version of Smash books! Just personalized!!","my daughter and",4,"i","her",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"354","I couldn’t not like AVENGERS ASSEMBLE in the end, because where else can you see Jenny Agutter attempt to nuke Manhattan? She hasn’t wielded power like that since WALKABOUT.","i couldn’t not like avengers assemble in the end because where else can you see jenny agutter attempt to nuke manhattan she hasn’t wielded power",26,"like","like","back","take","life","minutes","since","living","might","done","others",0.0299999999988358,TRUE
"355","Imagine An& complain and say the ACIB need restructuring…..is 20 months you in charge of it An& and you aint do anything to fix it? http://www.newsday.co.tt/news/0,155240.html","imagine an complain and say the acib need restructuring�is months you",12,"in","ago","many","see","time","year","back","book","later","since","months",0.0400000000008731,FALSE
"356","Feeling somewhat reflective these days!","feeling somewhat",3,"reflective","day","lost","decent","empty","universal","cathartic","evidenced","fearful","obscured","reflective",0.139999999999418,TRUE
"357","JUNIOR FACULTY","junior",2,"faculty","high","faculty","longboard",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"358","The days have fallen into a simple routine of golf in the morning, before it gets too hot, a bit of a nap, lunch, another nap, a dip in the pool, a walk on the beach and a cocktail or two before dinner.","the",2,"days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"359","Pro tip: can't afford the $18 entry fee? Sign up to volunteer--a 2.5 hour shift gets you one free ticket.","pro tip cant afford the entry fee sign up to",11,"volunteera","the","get","something","their",NA,NA,NA,NA,NA,NA,0,FALSE
"360","My husband and I don't really drink wine... but a lot of these fancy pants recipes call for it. What to do....I have no idea why it didn't dawn on me to pick these little guys up. Each bottle is a cup, which is perfect.","my husband and i dont really drink wine but a lot of these fancy pants recipes call for",19,"it","police","days","good","got","free","love","friend","friends","big","babies",0.0500000000029104,FALSE
"361","10. Yesterday, I was reminded how great a family I’ve got. My older sister was fighting a sinus headache and went to bed early, so my brother-in-law, who doesn’t often feel well, took charge of little A. until bedtime, when my mom took over. Before that, my mom was finishing a project for work, so I was able to clean the kitchen and make a cake she had to have for today. That’s the sort of thing my mom has taught us and it’s really wonderful to be able to help each other. My dad is great to help out, too, as are Sisters #1 and #2, though Sis #2 isn’t home that often. I just love the attitude of servanthood in a house. It makes life so much easier for everyone!","yesterday i was reminded how great a family i’ve got my older sister was fighting a sinus headache and went to bed early so my brotherinlaw who doesn’t often feel well took charge of little a until bedtime when my mom took over",44,"before","time","us","place","baby","hands","photo","day","home","away","little",0.0499999999956344,FALSE
"362","I’m a very weird person. I like taking pictures of everything….literally. I say literally more than the average human being. I suppose by saying literally it will enforce the fact that what I am saying is so literal that you can have zero questions about it. Its weird. I have an odd obsession with pronouncing words correctly. People make fun of me and the way I say “clothes”. I literally (here we go) say kuh-lo-thiz. Thats probably phonetically wrong but it just sounds like it is spelled. I was terrible in English though. I don’t know why I have that habit. I’m severely random. I get excited about new things, hence the reason I started a blog. I make weird faces and noises. All day, errrryday. But that’s me. When I’m really tired I start to get even weirder. Ok, done rambling.","i’m a very weird person i like taking pictures of everything�literally i say literally more than the average human being i suppose by saying literally it will enforce the fact that what i am saying is so literal that you can have zero",44,"questions","new","questions",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"363","It is necessary that you stay in the Inn to be a part of the workshop. If for some reason that is impossible, speak to the inn and they will give you a daily rate for participation. The Stapleton Kearns July Workshop Package includes one dinner and two or three nights lodging. The rate, single occupancy with dinner is $297.00 for the two nights in a standard room (or 20% off upgraded rooms if you wish to guarantee one of those). This includes lunch each day of the workshop. If you would like","it is necessary that you stay in the inn to be a part of the workshop if for some reason that is impossible speak to the inn and they will give you a daily rate for participation the stapleton kearns july workshop package includes one dinner and two or three nights lodging the rate single occupancy with dinner is for the two nights in a standard room or off upgraded rooms if you wish to guarantee one of those this includes lunch each day of the workshop if",89,"you","world","will","like","reason","information","package","future",NA,NA,NA,0.0600000000049477,FALSE
"364","The house, built by George Washington Vanderbilt II (grandson to railroad tycoon Cornelius ""Commodore"" Vanderbilt) is extremely impressive. Finished in 1895, the 135,000 square foot house contains 250 rooms, including a 70,000 gallon heated indoor swimming pool and a bowling alley. It remains today as the largest privately-owned home in the country.","the house built by george washington vanderbilt ii grandson to railroad tycoon cornelius",14,"commodore","commodore",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"365","while the world trembles.","while the world",4,"trembles","is","we","really","and","so","around","the","of","was","this",0.0299999999988358,FALSE
"366","Deze is gemaakt met het stempeltje 'Sweet Tilda'. Het papier dat ik gebruikt heb is weer van DCWV, 'Linen Closet'.","deze is gemaakt met het stempeltje sweet tilda het papier dat ik gebruikt heb",15,"is","weer",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"367","You can set your own rules and your own standards. I live on my writing income, so if I'd written three wonderful novels and not yet sold them, that would be a failure. If you're a full-time pilot with five children and no partner, writing two pages might be a massive success. Be realistic.","you can set your own rules and your own standards i live on my",15,"writing","way","face","week","first","right","blog","part","journey","radar","own",0.0199999999967986,FALSE
"368","I think he's absolutely right. We spend a lot of time trying to figure out how to improve our manuscripts and how to improve ourselves as writers. Our interior list of negatives is continually polished, when we should make sure that we're able to move forward in our writing from our strengths.","i think hes absolutely right we spend a lot of time trying to figure out how to improve our",20,"manuscripts","home","right","feel","self","next","writers","conditions","manuscripts",NA,NA,0.0100000000020373,TRUE
"369","That will be revealed in the last book of the series...","that will be revealed in",6,"the","us","last","seems","shed","chunk",NA,NA,NA,NA,NA,0.0400000000008731,FALSE
"370","Below are a few pictures from my camera lens of Hong Kong during this festival -","below",2,"are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"371","Paris Cookbook Festival","paris cookbook",3,"festival","know","love","country","early","finally","festival",NA,NA,NA,NA,0.0100000000020373,TRUE
"372","EHA will manage all tenant personal and financial information in compliance with the Data Protection Act and this will not be shared with the Trust (except where required to support a formal appeal against an allocation decision). This was a major issue for the LCT as it was felt important that Trustees were not compromised by knowledge of tenant personal and financial information.","eha will manage all tenant personal and financial information in compliance with the data",15,"protection","protection",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"373","Elyse is not the only one keeping secrets. There are others like her all over the world, descendants of the very people the Greeks considered gods. She is one of them, and they have been waiting for her.","elyse is not the only one keeping secrets there are others like her all over the world descendants of the very people the",24,"greeks","who","of","living",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"374","In April 2006, Leeds university authorities subjected Dr Frank Ellis to an Inquisition after he had an interview published in “Leeds Student"". Dr Ellis was sought out for the interview with political bias in mind because of his “peculiar and extreme views"". He and his interviewer ranged over many topics but what ignited prejudice against him were his remarks that the average black has a lower IQ than the average white or Asian; that he believed we need to introduce a policy of humane repatriation. There were the usual demonstrations by Unite Against Fascism. The University's decision was purely to persecute a man for holding the wrong opinion: he treated his students fairly and impartially as the interviewer acknowledged Dr Ellis’s “excellent rapport with his students and colleagues"". Further, Leeds have a system to prevent unfair marking as the candidate's paper is anonymous and each is marked by 3 different tutors. He was investigated by the West Yorkshire police for incitement to racial hatred. So what is the problem? Dr Ellis was not disciplined for his conduct towards his students, which was exemplary, but persecuted for not expressing the right thoughts on race. In an interview on Talk Sport Ian Collins screamed at Ellis, ”You're mad!” (7)","in april leeds university authorities subjected dr frank ellis to an inquisition after he had an interview published in “leeds student dr ellis was sought out for the interview with political bias in mind because of his “peculiar and extreme views he and his interviewer ranged over many topics but what ignited prejudice against him were his remarks that the average black has a lower iq than the average white or asian that he believed we need to introduce a policy of humane repatriation there were the usual demonstrations by unite against fascism the universitys decision was purely to persecute a man for holding the wrong opinion he treated his students fairly and impartially as the interviewer acknowledged dr ellis’s “excellent rapport with his students and colleagues further leeds have a system to prevent unfair marking as the candidates paper is anonymous and each is marked by different tutors he was investigated by the west yorkshire police for incitement to",161,"racial","racial",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0499999999956344,TRUE
"375","But it cannot define you. Not any more. You are a wild pig rooting for truffles. You are a weasel about to rip the throat out of a rabbit. You are an entrepreneur. You are going to be rich, and you don't much care, within the law, how you are going to do it. Or what must be sacrificed in the attempt.","but it cannot define you not any more you are a wild pig rooting for truffles you are a weasel about to rip the throat out of a rabbit you are an entrepreneur you are going to be rich and you dont",43,"much","need",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
