"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","timeToPredict","Correct","prediction6","prediction7","prediction8","prediction9","prediction10","prediction11","prediction12","prediction13","prediction14","prediction15"
"1073","Happy Birthday I Love you!!","happy birthday i love",5,"you","was","have","am","had","think",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1074","I'm going to start tweeting more. yep. so follow me..if you dare :-)","im going to start tweeting more",7,"yep","that","skills",NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1075","Lets go Yankees!","lets go",3,"yankees","to","back","with","on","through",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1076","Thanks! Love you too, Michelle! :]","thanks love you too",5,"michelle","can","have","are","know","will",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1077","in Fresno u","in fresno",3,"u",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1078","RT : #Tampa kicks ass. Great community, great people. Just sayin. Thank you for all the support today.","rt kicks great community great people just sayin thank you for all the support",15,"today","same","first","most","world","time",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","You're trophy","youre",2,"trophy","own","life","blog","body","favorite",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1080","Running out of O2 on a sat sucks. Guess its life saying u need a break. Anyone need some heady pieces?","running out of",4,"o","the","my","it","bed","state",0.0499999999992724,FALSE,"the","my","this","course","his",NA,NA,NA,NA,NA
"1081","If someone hates you for seemingly no reason, give them a reason.","if someone hates you for seemingly no reason give",10,"them","why","for","to","this","and",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1082","that's great! I'm happy school is going well! Get that ""ejamacation"" girl!!! 😊","thats great im",4,"happy","not","sure","still","going","so",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1083","#ghettoadvice I am addicted of and taking screenshots of hot guys. Wtf should I do?!?!?!??","i am addicted of and taking screenshots of",9,"hot","the","this","your","on","away",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1084","""People who date just off of looks are destined for an early ending"" I was on 's formspring and I just had to quote it :3","people who date just off of looks are destined for an early ending i",15,"was","will","in","one","long","but",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1085","wait, what?!","wait",2,"what","to","for","until","long","would",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086","Moe is dakota don't stop touchin me and go to bed wit her evil looking self omgg","moe is dakota dont stop touchin me and go to bed wit",13,"her","and","in","at","but","is",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1087","can u tell her to follow me it would mean the world to me","can u tell her to follow me it would mean the world",13,"to","same","first","most","world","time",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088","when I meet Austin: ""hey I just met you & this is crazy, but here's my number, so call me maybe ;)""","when i meet austin",5,"hey","the","some","him","because","you",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089","and to win or succeed, you must risk losing. if you lose, you become wiser. =)","and to win or succeed you must risk losing if you lose",13,"you","can","have","are","know","will",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1090","thank you!!","thank",2,"you","you","goodness","the","god","her",0.0200000000004366,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091","Apparently some people thinking getting poo'd on by a bird is good luck. Pretty sure it's the opposite of good luck.","apparently",2,"some",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092","whack LOL thats y it didn't last long","whack lol",3,"thats","and","so","the","take","but",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1093","we shop there weekly","we shop there",4,"weekly","and","with","the","in","at",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1094","I still want to meet your brother. LOL.","i still want to",5,"meet","to","the","you","him","it",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1095","it is turning into a good game! and CO is a beautiful state with great fishing and cycling.","it is turning into",5,"a","the","in","over","inside","left",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096","O big ""man?"" on twitter","o big man",4,"on","who","is","and","with","of",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097","Comedy central. Kevin hart. Awesome","comedy",2,"central",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1098","The only way not to think about money is to have a great deal of it. Wharton, Edith","the only way",4,"not","to","to","to","of","that",0.0799999999999272,FALSE,"they","through",NA,NA,NA,NA,NA,NA,NA,NA
"1099","#10FavoriteNickiMinajSongs hov lane young forever come on a cone && marilyn monroe","hov lane young forever come on a cone",9,"marilyn","few","little","lot","bit","good",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","""My parents accused me of being a liar. I looked them in the face & said, ""tooth fairy, Santa, Easter bunny."" & walked away like a boss.""","my parents accused me of being a liar i looked them in the face said tooth fairy santa easter bunny",21,"walked","is","this","and","weekend","season",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1101","off to records management II. One of these days I'll file some way other than piles of piles. (Piles of boxes - that's the trick","off to records management ii one of these days ill file some way other than piles of piles piles of boxes thats",23,"the","the","whites","of","will","that",0.0299999999988358,TRUE,"we","and",NA,NA,NA,NA,NA,NA,NA,NA
"1102","What a very crappy valentines day.","what a very valentines",5,"day","little","good","much","first","well",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1103","yes... its sad. I'm hobbles.","yes",2,"its","we","the","you","my","it",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1104","Bored someone call me or text me:)","bored someone call me",5,"or","the","it","to","for","of",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105","our editor in chief was a recent judge for the Misd India & had a lovely experience. congrats to Neetu Gupta!","our editor in chief was a recent judge for the misd india had a lovely experience congrats to neetu",20,"gupta","the","be","do","get","make",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106","Attending the #Fishers Plan Commission. Big crowd for the review of Sweetwater Creek Apartments.","attending the plan commission big crowd for the review of",11,"sweetwater","most","world","time","day","story",0.0500000000010914,FALSE,"the","of","on","for","is",NA,NA,NA,NA,NA
"1107","If the 76ers were smart they would hire u, u insane with this","if the ers were smart they would hire u u",11,"insane","be","to",NA,NA,NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108","Mom quote of the day on the subject of family: ""I feel like a referee at a WWF event in an insane asylum.""","mom quote of the day on the subject of family i feel like a referee at a",18,"wwf","the","least","all","this","home",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1109","counting on you bringing higher quality here than FB! I RT things from my phone to look at later. You'll see odd things.","counting on you bringing higher quality",7,"here","than","so","the","this","in",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110","Can't bring myself to do my Xmas shopping. Hate traffic. Hate crowds. Hate lines. It's too late to order things online.","cant bring myself to do my xmas shopping hate traffic",11,"hate","to","it","him","the","you",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1111","What you think about while watching a romantic movie; 5% - AAWW!! 5%- im going to find love like this some day 90% - IM GOING TO DIE ALONE","what you think about while watching a romantic movie aaww im going to",14,"find","try",NA,NA,NA,NA,0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1112","Carroll: emphasize innovative aspect of OA: every time you create an open environment you are promoting innovation","carroll emphasize innovative aspect",5,"of","and","use","global",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1113","My name is Brian and I am currently the biggest QPR fan on the planet!","my name is brian",5,"and","the","not","that","to","an",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114","#IDGAF goes hard!","goes",2,"hard",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1115","Omg nicki Minaj omg Chris brown omg enough!!!","omg nicki",3,"minaj",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116","Learn how to be happy with what you have while you pursue all that you want. - Jim Rohn","learn",2,"how","to","from","the","about","that",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1117","Im a loser but is supa kewl","im a loser but",5,"is","person","celebration","but",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118","Listen to the mustn'ts, child. Listen to the don'ts/then listen close to me Anything can happen, child. Anything can be. Shel Silverstein","listen to the mustnts child listen to",8,"the","to","to","this","and","or",0.0499999999992724,FALSE,"carefully",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1119","fell asleep on me knowing it's hard for me to sleep. what kind of friend is that?","fell asleep on me knowing its hard",8,"for","not","been","the","own","just",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1120","put me on the train","put me on the",5,"train","the","my","this","his","their",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1121","Chics w/ Chics in The Gym!! :( No WorkOUT BUDDEE","chics w chics in the gym no",8,"workout","membership","was","as","for",NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1122","Hey - I saw the pic. So sorry. Stay Strong. Love Me.","hey i saw",4,"the","the","this","the","this","her",0.0199999999986176,TRUE,"it","that",NA,NA,NA,NA,NA,NA,NA,NA
"1123","I'm right there with you :P","im",2,"right","not","sure","still","going","so",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1124","Iam now following you, I admire you, follow back please?","iam now following you i admire you follow back",10,"please","the","them","well","this","and",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1125","I have no energy for foolishness...","i have no energy",5,"for","one","longer","matter","not","idea",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126","Would love to hang out with you again! Are you going to the annual conference in November?","would love to hang out with you",8,"again","the","my","her","me","their",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127","""use wisely your power of choice"".","use wisely your",4,"power","own","life","blog","body","favorite",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128","Almost forgot Shaw is back in the lineup..","almost forgot",3,"shaw","to","the","it",NA,NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129","Just keep playin' man! We all believe in you, believe in your squad! Bout to show IU fans what's really up...","just keep playin man we",6,"all","who","is","and","with","of",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130","yep gymnast are always hot at the top of their sport I was a gymnast for 25 years","yep gymnast are always hot at the top of their sport i",13,"was","to","it","on","news","chek",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1131","Tempranillo - most famous of Spain's native grapes, is a vibrant, varietal that offers spicy, red fruit aromas and flavors","tempranillo most famous of spains native grapes is a vibrant",11,"varietal","few","little","lot","bit","good",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132","Headed out to help Butler County We Are Ohio campaign with phone calls today. NO on Issue 2!!","headed out to help butler county we are ohio campaign with phone calls",14,"today","call","calls","number","is","my",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1133","your welcome 😃","your welcome",3,"����",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134","Why do i constantly think i need to prove myself to you","why",2,"do",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1135","We're getting reports the train horn has finally stopped.","were getting reports the train",6,"horn","same","first","most","world","time",0.0599999999994907,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1136",""": u get my emails fam??"" I did but ain't had the time 2 peep yet.","u get my emails fam i did",8,"but","tell","mention","was","have","am",0.0499999999992724,FALSE,"had","think",NA,NA,NA,NA,NA,NA,NA,NA
"1137","9th grade: Everyone is friends with everyone. 10th grader: People start to act funny. 11th grade: You realize who's real. 12th grade: Bye.","th grade everyone is friends with everyone th grader people start to act funny th grade you realize whos real th grade",23,"bye","century","birthday","at","clan","of",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1138","picture of the build week on our website www.milwaukeehabitat.org","picture of the build",5,"week","same","first","most","world","time",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","thanks for the recommendation!","thanks",2,"for","you","goodness","the","god","her",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140","ket's pretend his nice, too.","kets",2,"pretend",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1141","Got my 2011 So You Think You Can Dance Tour tickets for Orlando!","got my",3,"so","roo","sources","bond",NA,NA,0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","I just got pitched by marketers saying they can get my pitch in journalists' hands ...","i just got pitched by",6,"marketers","to","the","out","it","in",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1143","you are already there my friend. I'm no 100 miler princess til I finish mine in June.","you are already there my friend",7,"im","life","first","own","favorite","head",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1144","Hope it went well! Looking forward to the end of March!","hope",2,"it","you","that","to","the","they",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1145","930 ET in like an hour in a half","et in like an hour in a",8,"half","the","my","this","his","our",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","- Thanks for a great job!","thanks for a great",5,"job","few","little","lot","bit","good",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147","sadness flies away on the wings of times…","sadness flies",3,"away",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1148","what an amazing opportunity! enjoy!","what an amazing",4,"opportunity","hour","old","amazing","interesting","opportunity",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","Felt nice not to have any worries, even if it was only for one night. Had the best one legged night possible with the best date,","felt nice not to have any worries even if it",11,"was","is","means",NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150","What better way to enjoy a Saturday night than watching the news? Two hours until I'm at the desk:)","what better",3,"way",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1151","I only kiss her when she on it","i only kiss her when",6,"she","and","to","own","in","she",0.0100000000002183,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1152","I feel like ima pass out","i feel like ima pass",6,"out","to","the","it","that","this",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153","“: woke up feeling very strange this morning. not my body, but my mind.” stop drinking syrup with French Montana.","“ woke up feeling very strange this morning not my body but my mind”",15,"stop","life","first","own","favorite","head",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154","Want to make a change in your life? You can change anything! Find out how at the Center of Light-Milwaukee.","want to make a change in your life",9,"you","own","life","blog","body","favorite",0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1155","I`m looking for a house","im looking for a",5,"house","the","me","my","this","you",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1156","you sure? I havent bought my ticket yet.","you",2,"sure","can","have","are","know","will",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1157","text me, asap.","text",2,"me","is","of","to","it","he",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","Shhhhh You! Its GENIUS!x","shhhhh",2,"you",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","microbes are","microbes",2,"are",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","“: JFK=>LAX=>HST. Hell yeah.” Are those penises?","“ jfklaxhst yeah” are those",6,"penises","the","not","you","some","all",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1161","Question of the day . how many cans of beans you must eat to gain a great fart .holla at me if you know retweet","question of",3,"the","the","my","this","course","his",0.0400000000008731,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1162","I have very warm feelings toward you, three-day weekend. This thing you and I are starting is going to be really special.","i have very warm feelings toward you threeday weekend this thing you and i are starting is going to",20,"be","be","take","have","play",NA,0.0100000000002183,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1163","just met rios stewart and reed from the #whitesox #workperks :-)","just met rios stewart",5,"and","up","with","the","you","my",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164","unless Tiana got an email, no. sorry :) -Abbie","unless tiana got",4,"an","to","the","out","it","in",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165","Gummy Bears :]","gummy",2,"bears",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166","Happy Birthday babe! Hope you're having a grand time.","happy birthday hope youre having",6,"a","not","probably","thinking","looking","interested",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1167","I told the waiter to get me some of the snaps on the snipe and make it snappy","i told the waiter to get me some of the snaps on the snipe and make it",18,"snappy","the","it","at","eventually","sure",0.0399999999990541,FALSE,"the","it","me","up",NA,NA,NA,NA,NA,NA
"1168","RT : Jamey Moyer, hero to middle-aged men everywhere, wins again for #Rockies and becomes oldest player to ever drive in a ...","rt jamey moyer hero to middleaged men",8,"everywhere","the","be","do","get","make",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1169","15 second mobile video ads > 30 seconds ads, enough time to get unique selling proposition out there!","second mobile video ads seconds ads enough time",9,"to","to","for","of","and","money",0.0300000000006548,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1170","If you engage in crazy, you will end up becoming one of them. FYI","if you engage in crazy you will end up becoming",11,"one","to","with","the","and","in",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1171","Starships are meant to fly.","starships are meant to",5,"fly","to","that","the","for","it",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1172","Why u reteetin me y'all played us","why u reteetin me",5,"yall","be","to",NA,NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173","Of course The Ultimate Jobber beats kane","of course",3,"the",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1174","those words will get it done.","those words",3,"will","is","that","in","of","and",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","Free ground shipping on all purchases over $100. Call (323) 731-2561 to place your orders and use the promo code 8851.","free ground shipping on all purchases over call to place",11,"your","the","be","do","get","make",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1176","This Week Focus on your Result or What You Really Want and Your Purpose or Why You Really Want It as opposed to What You Have To Do. Enjoy!","this week focus on your result or what you really want and your purpose or why you really want it as",22,"opposed","was","is","and","would","to",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1177","whats wrong pal =(","whats wrong",3,"pal","with","way","it","about","side",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1178","isn't that the whole point of a dramatic turnaround? A 360 would just land you back in the same tired place.","isnt that the whole point of",7,"a","of","is","and","in","that",0.069999999999709,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1179","Working on a 15-20 page writing sample in case I apply to grad school. And taking a third class. Maybe research assistanting.","working on a page writing sample in case i apply to grad school and taking a third class",19,"maybe","world","party","of","time","and",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1180","Thank you for the wonderful card! That was so nice.","thank you for the",5,"wonderful","the","me","my","this","you",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181","Ya bitch is wack she use to be my","ya is wack",4,"she","the","not","that","to","an",0.0499999999992724,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1182","I need some forty yard dash to get me through today. how soon until the next write up?","i need some forty yard dash to get me through today how soon until the",16,"next","the","we","it","you","my",0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1183","Gorgeous, congrats! Bring her over here if you need to get out. The gentle hum of the printshop will put her to back to sleep.","gorgeous congrats bring her over here if you",9,"need","you","you","the","it","they",0.0400000000008731,FALSE,"we",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184","Sometimes its nice just to sit and have a beer. Traveling (even for leisure) can be really exhausting.","sometimes its nice just to sit and have a traveling even for leisure",14,"can","the","me","my","this","you",0.0199999999986176,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1185","RT HEY MARIO AND ROD, STOP TALKING ABOUT THE A'S HITTING HOMERUNS","rt hey mario and rod stop talking about the",10,"as","the","it","this","what","to",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186","Your on?","your",2,"on","own","life","blog","body","favorite",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187","anotha one .. Reporter: what do you think about road trips? Meta: roaches??? I don't like roaches","anotha one reporter what",5,"do","jc",NA,NA,NA,NA,0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1188","Better not be! I expect an exciting night, With or out out NFL news lol ! “: Quieter than expected so far tonight. Will it last?”","better not be i expect an exciting night with or out out nfl news lol “ quieter",18,"than","and","so","the","take","but",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1189","We need more engaging content like you create. I know how much work this is but keep going!","we need more",4,"engaging","to","for","the","of","you",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1190","“LIKE” if you are also counting down the hours until the weekend starts!","“like” if you are also counting down",8,"the","and","them","both",NA,NA,0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1191","who just felt tht EARTHQUAKE!!!","who just felt tht",5,"earthquake","like","that","the","so","good",0.00999999999839929,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1192","See you again? You mind putting the # in my phone? It's so hard to type with this drink in my hand","see you again you mind",6,"putting","can","have","are","know","will",0.0400000000008731,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1193","Nothing in sight is on fire and I can't smell tear gas. Looks like this Monday night will be more calm than last week's.","nothing in sight is on fire and i cant smell tear gas looks like this monday night will be more calm than",23,"last","and","down","that","her","keep",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1194","""O that...they would...keep all my commandments always, that it might be well with them, and with their children forever!""~Deuteronomy 4:29","o thatthey wouldkeep all my commandments always that it might be",12,"well","be","have","not","just","want",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1195","Haha the #NewJerseyTacos suck but the #Austin ones are great!","haha",2,"the","you","my",NA,NA,NA,0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196","I think I iz so therefore I iz","i think",3,"i","it","this","the","that","its",0.0300000000006548,FALSE,"about","of","that","it","the",NA,NA,NA,NA,NA
"1197","Punbelievable. RT It's like a tweet wave.","punbelievable",2,"rt",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1198","Punbelievable. RT It's like a tweet wave.","punbelievable rt",3,"its","cispa",NA,NA,NA,NA,0.0399999999990541,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1199","It's memory lane Monday #DBUalum! Tell us about your favorite Winter Break during your college years!","its memory lane monday tell us about your",9,"favorite","the","it","this","what","to",0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200","HE FOLLOWED ME AH!;D","he followed",3,"me","the","them","well","this","and",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201","To the BPO. Director of Marketing","to the bpo director of",6,"marketing","of","he","or","shalt","anne",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1202","After dling the new version of Effects from , I downgraded back to 2.7. Reason? I'm not paying them again for the premium version.","after dling the new",5,"version","same","first","most","world","time",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203","my girl, whats good with you?","my girl",3,"whats","who","in","at","is","to",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1204","Let em porn stars know asa spades is that new drug around wat dey call molly lol yea im molly pop me i got u up up up up turnt up turnt up","let em stars know",5,"asa","we","listen","reading","hundreds","circled",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1205","Jim & I trying to lost a few pounds-I weigh end of day (want to know my heaviest), he weighs 1st thing in morning. Wondering what others do?","jim i trying to lost a few poundsi weigh end of day want to know my",17,"heaviest","that","what","how","the","if",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1206","Ruthie Powell Edit SEEKING NEXT OPPORTUNITY - VIRTUAL, based in Atlanta Area Greater Atlanta Area Staffing and Recruiting","ruthie powell edit seeking",5,"next","and","just","these","on",NA,0.0100000000002183,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1207","lol big fail!","lol big",3,"fail","day","deal","box","and","for",0.0300000000006548,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1208","lost 4 pounds since her last weigh-in!","lost pounds since her last",6,"weighin","and","to","own","in","she",0.0200000000004366,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1209","I walk with a limp~","i walk",3,"with","in","into","to","around","with",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
