"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","timeToPredict","Correct","prediction9","prediction10"
"515","Welcome to the fourth edition of The Pulse -- The State of the Art -- a survey in words and pictures of the online artist community. Nearly 150 artists have answered a list of questions which make up The Pulse. Their responses will be presented as a series of online and print projects. Links to the first two projects, Secret Sunday and The Book Guild, can be found on the sidebar of my blog.","welcome to",3,"the","the",NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE,NA,NA
"516","Boil Time: 90 min","boil",2,"time","time","minutes","add","without","water","lower","begins","reduce",0.0299999999988358,TRUE,"lb","rice"
"517","I’m about to turn 26… It’s 2012… I haven’t posted here that often (like I said I would) so with so many reasons to post… I’ve been thinking…","i’m about to turn � it’s � i",9,"haven’t",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"518","34. In a sense, I am Jacob Horner. —John Barth, The End of the Road (1958)","in a sense i am jacob horner",8,"—john","won",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"519","Scorching sand burned at her feet and bitterness ate at her heart. Mellie pumped her legs as fast as they would go. Her feet pounded with the rhythm of her emotions, beating a tempo with the crashing waves. Run-a-way. Run-a-way. Run-a-way. Adrenaline pulsed through her veins, quickening her step.","scorching sand burned at her feet and bitterness ate at her heart mellie pumped her legs as fast as they would go",23,"her","back","home","see","get","away","wrong","just","follow",0,FALSE,"another","long"
"520","There's one song that's just been hitting me lately. Love it. Love the sound and absolutely love the words.","theres one song thats just been hitting me lately love it love",13,"the","love","much","see","work","life","just","new","god",0.0199999999967986,FALSE,"song","know"
"521","3:36 Michelle Obama’s reaction to ‘big ear joke.’ Awesome.","michelle obama’s",3,"reaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"522","* ensures that the Member States comply with obligations under the Treaties, and","ensures that the member",5,"states","board","panel",NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"523","So our plans have been shelved for the moment - we attempted to do some sewing together yesterday afternoon at her request (boredom had set in I think!) but after about half an hour she had had enough and curled up on the sofa under the blanket watching a DVD.","so our plans have been shelved for the moment we attempted to do some sewing together yesterday afternoon at her request boredom had set in i think but after about half an hour she",35,"had","day","trip","shift","just","two","really","im","monday",0.0500000000029104,FALSE,"came","thats"
"524","2008: Unnamed dkb/br c by Bernardini. Unraced.","unnamed dkbbr c",4,"by","jpmorgan","u","will","beer","long","comment","charles","nothing",0.0199999999967986,FALSE,"national","beautiful"
"525","I TAKE IT ALL BACK","i",2,"take",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"526","I shrugged a little. ""Others might not agree with me, but I think all promises are equal. What I mean is that some promises might be bigger than others, but they're all important, and once someone makes a promise, it's important to keep those promises as much as possible. Sometimes things will happen that might keep someone from keeping a promise, but that person still needs to make an effort. That's part of integrity.""","i shrugged a little others might not agree with me but i think all promises are equal what i mean is that some promises might be bigger than others but theyre all important and once someone makes a promise its important to keep those promises as much as possible sometimes things",52,"will","like","can","will","im","get","people","really","dont",0.0299999999988358,TRUE,"life","know"
"527","My grandfather and I really had no relationship with each other. He died when I was 10 and I never really spoke to him except in a dream once many years later.","my grandfather and i really had no relationship with each other he died when i was and i never really spoke to him except in a dream once many",30,"years","people","times","things","us","years","ways","others","ideas",0.0100000000020373,TRUE,"items","now"
"528","that the larks prefer to listen to him, and the roosters refuse to","that",2,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"529","DL: Jake Bequette, Arkansas","dl jake",3,"bequette",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"530","It’s unsurprising that Gleave is thinking in terms of the long-game, considering it’s taken him eight years to come up, unencumbered by hype, on pop’s inside track. In 2006, the first incarnation of Example emerged – as a semi-novelty, sample-reliant rapper from the mean streets of Fulham (less street, more cul-de-sac) who was the last act signed to Mike Skinner’s ill-fated vanity label, The Beats.","it’s unsurprising that gleave is thinking in terms of the longgame considering it’s taken him eight years to come up unencumbered by hype on pop’s inside track in the first incarnation of example emerged – as a seminovelty samplereliant rapper from the mean streets of",46,"fulham","well","like","time","one","really","everything",NA,NA,0.0300000000061118,FALSE,NA,NA
"531","None of this should be surprising. In a global marketplace, there is a strong incentive to cut the cost of labor, either by outsourcing production or by insourcing workers. This two-way process will continue until wage rates are more or less the same throughout the world. So it doesn’t matter how low the wages are in labor-importing countries. What matters is whether the wages are even lower in labor-exporting countries. Such is the logic of globalization.","none of this should be surprising in a global marketplace there is a strong incentive to cut the cost of labor either by outsourcing production or by insourcing workers this twoway process will continue until wage rates are more or less the same throughout the world so it doesn’t matter",51,"how","many","hard","much","said",NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"532","Especially when the peach ice cream is nestled inside a lovely waffle cone. This has been one of my favorite sweet treats lately. I think the peachness of it makes me think it's summer time. Somehow, I never get to finish the entire portion of ice creamy goodness all by myself. I have a little boy whose eyes light up when he sees me walking into the room with it and suddenly any toy he was playing with is forgotten.","especially when the peach ice cream is nestled inside a lovely waffle cone this has been one of my favorite sweet treats lately i think the peachness of it makes me think its summer time somehow i never get to finish the entire portion of ice creamy goodness all by myself i have a little boy whose eyes",59,"light","say","know","like","u","make","can","two","still",0.0100000000020373,FALSE,"following","excited"
"533","Day 2 we relaxed at home on a rainy day and let the girls watch movies and make cupcakes. We also did a bike riding tour of the Stanford Campus (put on by Jen). The campus is magnificent. I loved all the architecture and green foliage.","day we relaxed at home on a rainy day and let the girls watch movies and make cupcakes we also did a bike riding tour of the stanford campus put on by jen the campus",36,"is","going","just","monday","police","put","afternoon","moving","goes",0.0199999999967986,FALSE,"east","family"
"534","The other day, after the Florida primary, I heard possibly the greatest political metaphor I've ever heard, in reference to Newt Gingrich's reasoning behind staying the Republican primary race.","the other day after the florida primary i",9,"heard","held",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"535","Los Angeles County Arboretum & Botanic Garden","los angeles county",4,"arboretum","sheriffs","prosecutors","man","officials","jail","warrant","district","court",0.0300000000061118,FALSE,"council","executive"
"536","My immediate reactions was likely similar to those of everyone else--run a quick inventory of the family. Where were they and did they know? I called my recently widowed mother who was angry and frightened. As soon as I felt she was calm I began calling the kids, and the the unthinkable happened. The Pentagon!","my immediate reactions was likely",6,"similar","face","get","make","find","many","begin","similar",NA,0.0299999999988358,TRUE,NA,NA
"537","Red Boots - £10 Ebay","red boots �",4,"ebay","keep","top","smiling",NA,NA,NA,NA,NA,0,FALSE,NA,NA
"538","This morning the horizon is dark grey in the north - whether from fire or rain we cannot yet tell. There is a touch of moisture on the wind although I cannot smell that magical rain smell. But then I am not an elephant. We pass one heading directly towards the dark sky, the rhythm of his steady pace belying his traveling speed. A flock of open bill storks pass overhead in classic V formation heading the same way. Their wings flicker white against the dark clouds.","this morning the horizon is dark grey in the north whether from fire or rain we cannot yet tell there is a touch of moisture on the wind although i cannot smell that magical rain smell but then i am not an elephant we pass one heading directly towards the dark sky the rhythm of his steady pace belying his traveling",62,"speed","traveling",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"539","Collecting your jar of hearts","collecting",2,"your","area","benefits","donations","jar","pension","impulses",NA,NA,0.0299999999988358,FALSE,NA,NA
"540","only when siblings were at throats","only when",3,"siblings",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"541","His gaze piercing the dark.","his",2,"gaze",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"542","I have some of your clothes. Mom gave me your pajamas to wear when I spent the night, and the beige ones just aren't my style. I don't think they were yours, either. Bears on a man who made each different tartan his own? Exactly. I can't bring myself to do anything with them, toss them or give them to an unknown who might not appreciate who you were. I was across the country when you died, and part of me worries that I'll be discarding what you wore when you told K you were glad she'd made the trip safely, when you last fell asleep with Mom making sure you'd taken those pills. You'd think this was no big deal, put them in a bag already, but I can't do it, and I can't bring myself to ask her which pair they were. It wouldn't be fair. Some of these clothes are still in a bag in my hallway. I caught Cricket laying on them, right there in the upright suitcase, and I love that she did, because you would have gotten a kick out of it. I would have called you to tell you, 30 seconds of nothing of consequence punctuated by a giggle, and we would have said our goodbyes. Until the next silly thing happened. I think about calling you like this a lot, particularly with each and every dumb pun I know would get a laugh and a shake of your head. It still takes a few seconds to realize it just can't happen.","i have some of your clothes mom gave me your pajamas to wear when i spent the night and the beige ones just arent my style i dont think they were yours either bears on a man who made each different tartan his own exactly i cant bring myself to do anything with them toss them or give them to an unknown who might not appreciate who you were i was across the country when you died and part of me worries that ill be discarding what you wore when you told k you were glad shed made the trip safely when you last fell asleep with mom making sure youd taken those pills youd think this was no big deal put them in a bag already but i cant do it and i cant bring myself to ask her which pair they were it wouldnt be fair some of these clothes are still in a bag in my hallway i caught cricket laying on them right there in the upright suitcase and i love that she did because you would have gotten a kick out of it i would have called you to tell you seconds of nothing of consequence punctuated by a giggle and we would have said our goodbyes until",214,"the","next",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"543","Apart from redistribution, which enables blacks to secure loans to buy or lease land from the government, the land reform programme also includes restitution (state sanctioned theft), by which black communities recover ancestral land.","apart from redistribution which enables blacks to secure loans to buy or lease land from the government the",19,"land","to","and","plan","is","has",NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"544","Or, at least, I did once I opened my eyes and found myself lip to lip with a large yellow beak.","or at least i did once i opened my eyes and found myself lip to lip with a",19,"large","new","little","few","man","smile","full","nice","large",0.0500000000029104,TRUE,"bit","look"
"545","Focus. I like it.","focus i like",4,"it","to","the","it","that","and","how","this",NA,0.0199999999967986,TRUE,NA,NA
"546","P.S. Don't tell Zephyr about this, cause he don't know yet.","ps dont tell zephyr about this cause he dont",10,"know","know","think","want","forget","get","see","care","really",0.0100000000020373,TRUE,"like","need"
"547","Tra tutte le partecipanti al Challenge ne verrá estratta una con il sistema Random che riceverá in regalo questo Glitter Glue""Ice Sickles""","tra tutte le partecipanti al challenge ne verr� estratta una con il sistema random",15,"che","pm",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"548","Sleep eluded me as I tried to struggle with a bad cold and cough. In the middle of the night the cool breeze relaxed my restless heart and tired body. I tried to sit up and work on the lappie but somehow did not have the strength. The drumbeat in the cell indicated a text message. There are times when the heart is torn between longing and loss. It’s an emotion which can’t be really described. Tears know not for what reason they flow. My vision blurred I slid out of bed and went to the terrace. Apart from a constant hum of the refrigerator the entire house was bathed in silent glow of the night-light. I still believe that heartstrings are tuned irrespective of physical distances and unseen heard melodies are the ones that make life worth what it is.","sleep eluded me as i tried to struggle",9,"with","get","something","block",NA,NA,NA,NA,NA,0.0400000000008731,FALSE,NA,NA
"549","What is the book about? It’s about a boy and his two dogs, the things they go through together, hunting coons, making miracles happen, saving each others’ lives.","what is the book about it’s about a boy and his two dogs the things they go through together hunting making miracles happen saving",25,"each","world",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"550","Blushful as you jitterbug across an ice-rink,","blushful as you jitterbug across an",7,"icerink","country","state","street","chest","new","us","city","room",0.0299999999988358,FALSE,"many","county"
"551","Christine x","christine",2,"x","x","bakke","jarrett",NA,NA,NA,NA,NA,0,TRUE,NA,NA
"552","- Finally, leaves are graded by quality","finally",2,"leaves","get","got","made","decided","began","week","going","take",0,FALSE,"good","home"
"553","I’ve said it a thousand times before and I’ll say it again: I love working with other artists!","i’ve said it a thousand times before",8,"and","and",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE,NA,NA
"554","I spy a hummingbird","i spy",3,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"555","We’re not given a choice in regards to the appearance, inclinations, lineage, or location of our bodies when we arrive on Earth. Additionally, human civilization, and it’s massive infrastructure, is already well-established before we arrive.","we’re not given a choice in regards to the appearance inclinations lineage or location of our",17,"bodies","new","city","minds",NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"556","She is being held without bond and charged with three counts of lewd or indecent proposals or acts to a child under 16.","she is being held without bond and charged with three counts",12,"of","much","murder","results","considered","kinda","faced","bail","lewd",0.0200000000040745,FALSE,"misdemeanor","willful"
"557","While I was sitting in a suite tonight, waiting for a search warrant to go through, I just kept thinking about the song, “For the Moments I Feel Faint” by Relient K. It was a big song for me in high school. The only line I could remember of the song was a part of the chorus, “You’re telling me that there’s no hope; I’m telling you you’re wrong.” I had a thought, have I been telling myself that there’s no hope? I’ve been known to do so, when I get in a bad enough mood.","while i was sitting in a suite tonight waiting for a search warrant to go through i just kept thinking about the",23,"song","way","issue","future","world","decision","last","choice","journey",0.0299999999988358,FALSE,NA,NA
"558","I made sure I read during both my break 15mins and lunch 30mins, with the exception of a few interruptions. The result is that (at 4.30pm GMT) I've now read 23 pages of 'Crusade of Tears' by C.D. Baker in half an hour.","i made sure i read during both my break mins and lunch mins with the exception",17,"of","see","bad","someone","leader","however","fact","whats","rely",0.0299999999988358,FALSE,"swedish","shout"
"559","Remember to post your projects using Inlinkz no later than 12:00 noon Central time on Friday, January 13, 2012. We will announce the winner of the stamp set and the new Top Mouse Award winners when the new sketch challenge is posted on Saturday, January 14th. Please use a direct link to your project and feel free to enter as many times as you like!","remember to post your projects using inlinkz no later than noon central time on friday january we will announce the winner of the stamp set and the new top mouse award winners when the new sketch challenge is posted on",41,"saturday",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"560","or should I say hadn't, because my darling little lady who has been a non-sleeping crab of a child lately decided SHE was the anti-waster.","or should i say hadnt because",7,"my","seen","even","read","expected","forgotten","notified","darling","stayed",0.0300000000061118,FALSE,"officially","bleek"
"561","The primary responsibility for an MMO is to detect and monitor marine mammals within 1,640 feet of the center of the air gun array. They are also responsible for ensuring that the seismic testing vessel adheres to environmental protection guidelines in regards to marine mammals, and educating and advising the crew on these guidelines.","the primary responsibility for an mmo is to detect and monitor marine mammals within feet of the center of the air gun array they are also responsible",28,"for","use",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"562","6.) Add flour to pan and stir","add",2,"flour","chicken","ability","asparagus","flour","mushrooms","just","one","another",0.0299999999988358,TRUE,"things","fun"
"563","If you’ve liked early books by Berkom, you are sure to enjoy this one even more. This is one of the longer books by Berkom and has good pace balance throughout. As with all her books, this is another great value for the money. And although reading previous Kate Jones books will give context to “Touring for Death” this is really a stand alone chapter in the ongoing saga and readers new to Berkom can easily start with this novel and not miss a beat.","if you’ve liked early books by berkom you are sure to enjoy this one even more this is one of the longer books by berkom and has good pace balance throughout as with all her books this is another great value for the money and although reading previous kate jones books will",53,"give","get","make","go","take","also","come","never","always",0.0100000000020373,FALSE,"help","see"
"564","We are a constitutional nation, not a religious dictatorship. Unless he or she threatens violence, you do not have the right to gag or bully or dictate to your neighbour – or decide what he or she can say or see or hear.","we are a",4,"constitutional","few","lot","bit","little","couple","great","number",NA,0.0299999999988358,FALSE,NA,NA
"565","I have also missed worship. Some of the songs really resonate with me and often bring me to tears. This weekend was no exception. In fact, I'm including the lyrics to Before the Throne of God because it is an absolutely beautiful song and describes the love of God in a way that just grabs hold of my heart.","i have also missed worship some of the",9,"songs","best","most",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"566","On Monday, December 26 at midnight, the give away ends.","on monday december at midnight",6,"the","th","time","got","morning","judge","ive","midnight","played",0.0300000000061118,FALSE,"issue","moon"
"567","Confession 2 is towards my blogger friends.","confession is towards",4,"my","end","students","adoptive",NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"568","I don’t want James to see his dad like I have been seeing him. I want HSSH to be healed and then come into his children’s lives.","i don’t want james to see his dad like i have been seeing him i want hssh to be healed and then come into",25,"his","his",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE,NA,NA
"569","And I then got an e-mail from Bob saying:","and i then got an email",7,"from","to",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"570","Regular vice-captain Shane Watson only returned to club cricket last weekend after a six-week absence with a calf injury. While Clarke said he hoped to return for Sunday’s one-dayer against India in Brisbane, team physiotherapist Alex Kountouris was non-committal.","regular vicecaptain shane watson only returned to club cricket last weekend after a sixweek absence with a calf injury while clarke said he hoped to return for sunday’s onedayer against india in",33,"brisbane",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"571","13. Travelin' Light","travelin",2,"light",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"572","Living in a world filled with so much bad and ugliness, it is refreshing to be reminded about someone who is truly and totally good and beautiful…in nature as well as in action. In his book, The Good and Beautiful God, the author, James Smith, reminds us of the fact that there is someone in our world who is good and beautiful and that person is God. In his book he does a masterful job at explaining for us just how GOOD and BEAUTIFUL God really is.","living in a world filled with so much bad and ugliness it is refreshing to be reminded about someone who is truly and totally good and beautiful�in nature as well as in action in his book the good and beautiful god the author james smith reminds us of the fact that there is someone in our world who is good and beautiful and that person is god in his book he does a masterful job at explaining for us just how good",83,"and","morning","luck","thing","time","day","idea","one","times",0,FALSE,"enough","job"
"573","exhausting him","exhausting",2,"him","number",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"574","kinda genius no?","kinda",2,"genius","like",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"575","Last week, when someone dropped me off on the way to the Church office, he was saying that Paul and Timothy had such a good relationship that they looked out for each other and making sure the churches were ok. Especially in times of persecution and oppression. We were talking about a whole different topic but I thought about this later and applied this to our students too and wondered about how we can pull this into helping them to step out into faith. It’s definitely not an easy task to dictate.","last week when someone dropped me off on the way to the church office he was saying that paul and timothy had such a good relationship that they looked out for each other and making sure the churches were ok especially in times of persecution and oppression we were talking about a whole different topic but i thought about this later and applied this to our students too and wondered about how we can pull this into helping them to step out into faith it’s definitely not an easy",90,"task","ones","get","make","week","sure","thing","follow","tell",0.0400000000008731,FALSE,"work","book"
"576","Recruitment: Initially Elizabeth teaches a small group the game, but there’s still the obstacle of establishing a full team who will be up for the extreme challenge. Finally a diverse group of people are gathered from the village and surrounding areas since they have a common interest in eliminating the unfair tax by their common enemy, the British.","recruitment initially elizabeth teaches a small group the game but there’s still the obstacle of establishing a full team who will be up for the extreme challenge finally a diverse group of people are gathered from the village and surrounding areas since they have a common interest in eliminating",50,"the","unfair","multiple",NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"577","Eventually it would happen anyways","eventually it",3,"would",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"578","If you have three or more names (first, middle and last), it makes it that much easier to create an elaborate story from merely the origin and meaning of your names.","if you have",4,"three","been",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"579","There are three categories on our list: financial, home and personal. The plan is to come together every three months and evaluate these goals and see if they need to be tweaked.","there",2,"are",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"580","Patient: ""Well I can't afford any medicine.""","patient well i cant afford",6,"any","to",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"581","That afternoon was the last meeting of the yearbook committee: My ""best friend"" didn't say a word to me. Clara got her candy and we had water ice and then left. I know when I'm not welcome but I wasn't going to be cheated out of my goodies. You know, I heard about a book that just came out that tracked kids from high school into real life. All the geeks, outcasts, etc., they are the ones moving and shaking in this world: Steve Jobs (geek), J.K. Rowling (book nerd), Lady Gaga (fashion weirdo, hasn't changed much has she?). It's the popular kids who end up with the most insecurities. So there you go.","that afternoon was the last meeting of the yearbook committee my best friend didnt say a word to me clara got her candy and we had water ice and then left i know when im not welcome but i wasnt going to be cheated out of my goodies you know i heard about a book that just came out that tracked kids from high school into real life all the geeks outcasts etc they are the ones moving and shaking in",82,"this","the","out","see","use","may","were",NA,NA,0.0400000000008731,FALSE,NA,NA
"582","Mason HJ. Occupational cadmium exposure and testicular endocrine function. Human & Exp Tox 1990; 9: 91-94.","mason hj occupational cadmium exposure and testicular",8,"endocrine","time","good","since","bad","range","sponsors","opens","controls",0.0400000000008731,FALSE,"testicular",NA
"583","by the end of this year","by the",3,"end","way","end","time","state","us","city","federal","people",0.0100000000020373,TRUE,"new","great"
"584","Anyway, Sunday night we were contemplating our drive back to Florida on Monday. It's not such a bad drive-- about 8 hours. When I drive alone it's 7-7.5 hours, depending on traffic, but it was nice having my mom and GDA along. The two of them a great camaraderie between them, and my mom takes great pleasure in exclaiming callate (pronounced cashatay in Argentinian Spanish, meaning shut up in American English) with her fists thrusted into the air.","anyway sunday night we",5,"were","have","were",NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE,NA,NA
"585","Bassist for the Grateful Dead, BD 3/15/40","bassist for the grateful dead",6,"bd","just","last","heat","now","week","like","people","will",0.0100000000020373,FALSE,"little","well"
"586","“Man is not the sum of what he has already, but rather the sum of what he does not yet have, of what he could have.” Sartre said to console Simone. She nodded, snuffling into her hanky. I longed for Kermit, Miss Piggy. Bloody BAFTA nominations.","“man is not the sum of what he has already but rather the sum of what he does not yet have of what he",25,"could","does","thought","called","thinks","was","is","has","said",0.0299999999988358,FALSE,"needs",NA
"587","Write out your dreams.","write out",3,"your",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"588","Again, this is a mix of new titles and some that I've been after for a while, as well as being a mixture of 'gritty' realism and contemporary humour - sometimes in the same book.","again this is a mix of new titles and some that ive been",14,"after","away","playing","waiting","in",NA,NA,NA,NA,0.0200000000040745,FALSE,NA,NA
"589","If DC really wants to appeal to non-fanboys with the New 52, it would behoove them to have an entry level title that the casual reader can pick up every now and then and get a satisfying single issue reading experience. If this debut issue is any indication, Superman might just be that title. This would be appropriate, since everyone knows who Superman is. He's not only DC's most famous character, but one of the most recognizable fictional characters in all of literature. Therefore, you don't really need to spend a lot of time introducing the characters to new readers. If you were in a comics shop about to pick up your first ever comic book, wouldn't you be more likely to go for a character you already know from movies and TV?","if dc really wants to appeal to nonfanboys with the new it would behoove them to have an entry level title that the casual reader can pick up every now and then and get a satisfying single issue reading experience if this debut issue is any indication superman might just be that title this would be appropriate since everyone knows who superman is hes not only dcs most famous character but one of the most recognizable fictional characters in all of literature therefore you dont really need to spend a lot of time introducing the characters to new readers if you were in a comics shop about to pick up your first",113,"ever","time","thing","two","place","four","round","half","ever",0.0299999999988358,TRUE,"book","year"
"590","The Upsetters - My Girl","the upsetters my",4,"girl",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"591","The Killing airs Sundays at 9pm on AMC","the killing airs sundays at pm",7,"on","on","friday",NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE,NA,NA
"592","This was going to be my April teaser, but the last couple of weeks were busy with the Merola Opera Program’s annual Benefit Gala, A Royal Affair (there are Mélanie and I above in our tiaras). So the April teaser is being posted in early May. It’s a scene from the novella I’m writing about Malcolm/Charles and Mélanie/Suzanne’s engagement and wedding, provisionally titled The Lisbon Bride. In this scene, Charles/Malcolm tells his valet Addison that he’s going to be married. It’s fascinating for me to go back in time and discover who these characters I know so well were at the start of their relationship.","this was going to be my april teaser but the last couple of weeks were busy with the merola opera program’s annual benefit gala a royal affair there are m�lanie and i above in our tiaras so the april teaser is being posted in early may it’s a scene from the novella i’m writing about malcolmcharles and m�laniesuzanne’s engagement and wedding provisionally titled the lisbon bride in this scene charlesmalcolm tells his valet addison that he’s going to be married it’s fascinating for me to go back",88,"in","to",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"593","I'm honestly surprised I didn't see any of them wearing this:","im honestly surprised i",5,"didnt","see",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"594","It made me look at how I had treated her son, at how The Man had viewed her son so differently than I had viewed him. It made me think about her daughter, so much like my own daughter, having to grow up without her mom. And how, as a mother she could so genuinely accept someone who had previously been cruel to her own son.","it made me look at how i had treated her son at how the man had viewed her son so differently than i had viewed him it made me think about her daughter so much like",37,"my","going","just","lot","old","one","new","see","good",0,FALSE,"im","us"
"595","Mon-Fri July 16-20","monfri",2,"july",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA
"596","giving them the taste and touch of adult work.","giving them the taste and",6,"touch","first","other","new","way","people","best","two","world",0.069999999999709,FALSE,"city","house"
"597","Brody has gotten this dish many times before and raves about it. It includes crispy rice, sautéed spinach, winter vegetables, bean sprouts, sunny-side up egg, chili paste, and marinated tofu or pork. Mmmm…this was so good! I ate it all but saved room for dessert. My friend Rena and I chose the chocolate peanut butter cheesecake for the table to split, but after everyone else (four other people) took a bite, Rena and I polished it off. Oh, and my drink! While I don’t drink a lot of liquor, I do enjoy anything with gin and grapefruit juice. I ordered the Marquez Collins which obviously had those two liquids but then topped with red wine, all over ice. It was a lovely dinner experience, as it always is at Graze.","brody has gotten this dish many times before and raves about it it includes crispy rice saut�ed spinach winter vegetables bean sprouts sunnyside up egg chili paste and marinated tofu or pork mmmm�this was so good i ate it all but saved room for dessert my friend rena and i chose the chocolate peanut butter cheesecake for the table to split but after everyone else four other people took a bite rena and i polished it off oh and my drink while i don’t drink a lot of liquor i do enjoy anything with gin and grapefruit",98,"juice","citrus","league","juice","theme",NA,NA,NA,NA,0.0100000000020373,TRUE,NA,NA
"598","Where else you can see Sand Dunes, Ocean, Mountains and the City all at the same location?","where else you can see sand dunes ocean mountains and the city all",14,"at","time","way","other","kids","more","people","good","world",0.0500000000029104,FALSE,"fun","difference"
"599","We enjoyed the show until all the credits had rolled, but could not find a suitable place for dinner; the tourist season had yet to begin, so almost nothing was open. Instead, after a walk from one end of town to the other, we took the tram back to Sóller for a well-deserved dinner. We would head for Palma the following day, but for that evening we were happy to be living in the moment.","we enjoyed the show until all the credits had rolled but could not find a suitable place for dinner the tourist season had yet to begin so almost nothing was open instead after a walk from one end of town to the other we took the",47,"tram","time","day",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE,NA,NA
"600","They're writing.","theyre",2,"writing","just","worth","probably",NA,NA,NA,NA,NA,0.0299999999988358,FALSE,NA,NA
"601","A couple of nights ago Wesley and I sat down and read this book together. He was able to read a good chunk of it himself and seem to really enjoy it. Its based on the children's song ""Five Little Ducks"" excepts these cute little bunnies keep hopping away one at a time. The CD that is included in a slip pocket on the inside of the front cover contains the story read out loud by a narrator as well as 19 children's songs like","a couple of nights ago wesley and i sat down and read this book together he was able to read a good chunk of it himself and seem to really enjoy it its based on the childrens song five little ducks excepts these cute little bunnies keep hopping away one at a time the cd that is included in a slip pocket on the inside of the front cover contains the story read out loud by a",78,"narrator","single","man","vote",NA,NA,NA,NA,NA,0.0100000000020373,FALSE,NA,NA
"602","Those of you who were up there in Northrend with me will remember my last operation was at Light’s Hammer just inside the gates of Icecrown Citadel. You might also remember that I spent most of that time hanging out there with Tirion Fordring. Who I’d already had my fill of, by the way, when I went to meet him with Thrall at his stupid-ass tournament place. (Like seriously, isn’t ONE pansy-ass traveling fair enough for the world?) So hopefully you people were all too busy forging your way into the citadel and fighting our enemies like the Horde soldiers that you are…but meanwhile I was stuck back there with Tirion…who pretty much had nothing to do for a good long time but talk. And talk.","those of you who were up there in northrend with me will remember my last operation was at light’s hammer just inside the gates of icecrown citadel you might also remember that i spent most of that time hanging out there with tirion fordring who i’d already had my fill of",52,"by","favorite","life","time","friends","new","own","home","bed",0.0199999999967986,FALSE,"blog","family"
