"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"91","So although I didn’t have much technology at home I was getting pushed into it at school..","so although i didn’t have much technology at home",10,"i","i","4","i","31A","i","31B","at","32C","home","31B","watch","3","often","3","of","3","was","3","my","3",0.269999999989523,TRUE
"92","Similarly, the new ‘code of conduct’ says women should not travel without a male companion and they should not mingle with men in places like schools, markets or offices.","similarly the new ‘code of conduct’ says women should not travel without a male companion and",17,"they","they","3","and","41C","and","31B","and","32B","they","21","and","32C","mingle","21","companion","32C","groupie","32C","even","32A",0.210000000006403,TRUE
"93","2. Gauge'n her ears out. I am presently wearing what appear to be large stainless steel curlicue fish hooks though each earlobe and while I don't recall the exact gauge they are about as big around as a common framing nail. They look wicked cool and divert attention away from the fact that I am 50, and dye my hair. Seriously. It works.","gaugen her ears out i am presently wearing what appear",11,"to","be","3","appear","31B","be","2","to","3","large","2","funloving","2","want","21","had","21","needed","21","iron","21",0.209999999991851,TRUE
"94","Michael helped me hold up the arches while I drilled in a few pilot holes and some dry wall screws. It's a good idea to really get those screws in flush with the MDF or even counter-sunk so you can't see them later. We installed the flat trim in the same way.","michael helped me hold up the arches while i drilled in a few pilot holes and",17,"some","some","4","and","41C","holes","52J","dry","3","some","31A","i","42D","holes","42F","some","31B","i","32A","and","32B",0.360000000000582,TRUE
"95","The sun which changed to snow over night left residents unprepared with how to get to work and doing there day to day things.","the sun which changed to snow over night left",10,"residents","residents","3","left","41C","left","31B","night","42F","left","32B","left","32C","night","32C","old","2","train","2","lovestruck","2",0.309999999997672,TRUE
"96","This is highly negative in nature and has some deadly impacts on married life.If a human gets married to another with Manglik dosh then the Manglik Dosh of partner will surely effect other's life.It has a single solution which is known as ""Kumbh Vivah"". This is the only way which can end this Dosh and may give prosperity to both Bride and Groom even if one has Major Manglik Dosh.","this is highly negative in nature and has some deadly impacts on",13,"married","married","3","on","31B","married","21","impacts","32C","back","2","week","2","way","2","island","2","faces","2","monitor","2",0.149999999994179,TRUE
"97","Sour cream for garnish","sour",2,"cream","and","2","for","2","cream","2","semisolid","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"98","For the yogurt sauce:","for the",3,"yogurt","best","3","cup","3","time","3","week","3","post","3","will","3","years","3","room","3","book","3","first","3",0.0900000000110595,FALSE
"99","M: “Hey babe?”","m",2,"“hey","last","2","ingle","2","anchors","2","the","2","is","2","kelp","2","m","2","blakeman","2","video","2","visitors","2",0.0399999999935972,FALSE
"100","You can also see how we've got a layer of cement material in our walls (I think it's called rock lath like I mentioned here) - yep, that is fun to drill through and Aaron's Dad knows just how fun it is to sawzall through (someday we can get a proper intro to our kitchen for you).","you can also see how weve got a layer of cement material in our walls i think its called rock lath like i mentioned here yep that is fun to drill through and aarons dad knows just how fun it is to sawzall through someday we can get",49,"a","a","5","proper","4","a","41A","a","41B","a","41C","child","3","proper","3","get","32B","a","4","get","32C",0.320000000006985,TRUE
"101","Every day. Every single day I do this with my nemesis I75. And every single day I remember what a dumbass I am for thinking I can beat the odds, that I won't be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation. I lament the fact that they don't have formal drivers' education here, that the public transportation system is pretty much nonexistent and, of course, I berate myself for once again for forgetting that the back roads aren't just more scenic. They're more efficient, too.","every day every single day i do this with my nemesis i and every single day i remember what a i am for thinking i can beat the odds that i wont be thinking unkind thoughts about whomever caused the accident that has resulted in the bumper to bumper clusterfuck that is the worst commute in the nation i lament the fact that they dont have formal drivers education here that the public transportation system is pretty much",79,"nonexistent","lately","31A","much","31B","simple","31B","teeny","31B","talk","31A","ruins","32C","pretty","32C","broken","32C","in","32C","sure","21",0.219999999986612,FALSE
"102","It's behaving like a lady, or acting like a gentleman.","its behaving",3,"like","a","3","a","2","like","3","like","2","worse","21","cool","21","like","21","days","21","will","21","good","21",0.0700000000069849,TRUE
"103","680 gr. Mehl","gr",2,"mehl","mehl","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"104","My birthday is July 2nd, and what better gift could I give to myself that to reach this goal that’s nearing two years in the making? So from now until then, I’ll be giving Sunday updates/weekend wrap-ups on my progress called Birthday Gift Goal Updates.","my birthday is july nd and what better gift could i give to myself that to reach this",19,"goal","goal","4","goal","3","this","41C","reach","42F","goal","31B","goal","21","this","32B","this","31B","may","32A","done","32A",0.309999999997672,TRUE
"105","Now marketing is dead. And it's not just dead, it's dead in caps, as in, ""Marketing is Dead.""","now",2,"marketing","believe","2","without","2","know","2","else","2","away","2","got","2","well","2","seems","2","live","2","ill","2",0.0100000000093132,FALSE
"106","The first of what is likely many. “Due to technical disturbances, Oslo Børs’ Equity and Bonds markets are temporary halted. Members may delete their orders in this state. Further information will follow. “","the first of what is likely many “due to technical disturbances oslo b�rs’ equity and bonds markets are temporary halted members may",23,"delete","delete","3","may","31B","delete","21","your","21","may","21","holy","21","been","2","last","2","end","2","year","2",0.189999999987776,TRUE
"107","The surprising success at Prestonpans was the tinder that sparked the initial success of the Jacobite revolt in 1745: on 21 September 1745 the Jacobite army loyal to James Francis Edward Stuart and led by his son Charles Edward Stuart (Bonnie Prince Charlie) defeated the government army loyal to the Hanoverian George II led by General Sir John Cope at Prestonpans – a few miles outside Edinburgh.","the surprising success at prestonpans was the tinder that sparked the initial success of the jacobite revolt in on september",21,"the","the","4","the","31A","was","3","on","32C","the","3","i","3","daily","31B","game","31B","the","31B","maybe","2",0.220000000001164,TRUE
"108","at the age of seven (something that studies have shown makes the first","at the age",4,"of","of","31A","now","4","bette","4","seven","4","of","4","of","3","now","3","bette","3","seven","3","now","2",0.110000000000582,TRUE
"109","Preschool Literacy:","preschool",2,"literacy","literacy","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"110","“Are you making fun of me?” he’d ask.","“are you making fun of",6,"me”","of","41C","and","3","of","31B","of","32B","me","3","of","32C","fun","32C","much","21","listen","21","friends","21",0.229999999995925,FALSE
"111","That dynamic keeps both the friendly and the adversarial on notice that they are in thrall to a supremo that can play fast and loose with the pros and cons of fluid situations.","that dynamic keeps both the friendly and the adversarial on notice that they are in thrall to",18,"a","a","5","a","4","a","41A","a","41B","a","41C","supremo","3","thrall","42F","a","31B","to","32B","a","3",0.360000000000582,TRUE
"112","My stomach hurt like crazy & still does.","my stomach hurt like crazy still",7,"does","does","3","still","31B","crazy","32C","needless","21","thinking","21","the","21","you","21","has","21","does","21","year","21",0.220000000001164,TRUE
"113","""In Mexico City, i'm known as puerco chupacabra.""","in",2,"mexico","end","2","words","2","same","2","year","2","morning","2","process","2","past","2","york","2","africa","2","will","2",0.0299999999988358,FALSE
"114","How did they get there?","how did they get",5,"there","there","4","by","41A","from","41B","get","41C","by","3","there","3","there","31B","get","31B","i","31A","there","31A",0.279999999998836,TRUE
"115","Water (or sparkling water if you're fancy)","water or sparkling water",5,"if","if","3","water","31B","if","21","sun","32C","water","21","jelly","32C","sparkling","32C","more","32C","day","2","get","2",0.139999999999418,TRUE
"116","I told by boss my leaving date this week and put the rumours to rest. Clients naturally got told first, but news travels fast with only a matter of weeks to go and soon everyone knew. condolences and wishes of good luck come flooding in, the work floods in and dries up at the same time – it is a funny one.","i told by boss my leaving date this week and put the rumours to rest clients naturally got told first but news travels",24,"fast","fast","3","travels","31B","news","42F","with","2","fast","2","i","32C","news","32C","editor","21","fast","21","tea","21",0.220000000001164,TRUE
"117","Hospital in Empangeni on Wednesday night after undergoing an emergency","hospital",2,"in","the","2","stay","2","staff","2","hospital","2","empangeni","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"118","But who am I, I need to know","but",2,"who","was","2","love","2","decided","2","figured","2","of","2","were","2","so","2","day","2","sure","2","ha","2",0.0299999999988358,FALSE
"119","NIGHT OF THE DRIBBLER","night of",3,"the","ink","3","navy","3","the","3","night","21","want","21","going","21","leader","21","read","21","residents","21","navy","21",0.0899999999965075,TRUE
"120","06/03 – San Francisco, CA @ Slims","–",2,"san",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"121","When I got to the park I confirmed with the ranger that there was a water fountain at the summit. I knew this would be about 11 miles and I figured I had enough water to get me up there. Once at the top, the Visitor Center, my options for getting back opened up. It felt like a safe plan, so I went for it. Halemau’u Trailhead to the Summit, then possibly back from there or a quick trip back to the car via the road that went to the summit, or, I could hitchhike down if I needed it.","when i got to the park i confirmed with the ranger that there was a water fountain at the summit i knew this would be about miles and i figured i had",33,"enough","enough","4","had","51D","enough","31A","had","42C","had","42E","had","42F","done","41A","to","41A","been","41A","needed","41C",0.369999999995343,TRUE
"122","Each morning when we roll out of bed we are given the world. We can make that day into anything we want just by starting the day right. I must admit, most mornings I hit snooze 10 times, each time dreading more the next time it goes off. The second that alarm goes off I flood my head with negative thoughts; 'ugg its another work day', 'I wonder what fires I will have to put out today', 'I can't wait until today is over', 'why did he break up with me?'. I'll give you one guess how my days turn out! I am a self-fulfilling prophecy. My days are slow, filled with turmoil and work problems, and I am sad and lonely. So today I tried something new! My alarm when off and I smiled. Not because I wanted to but because I needed to. I kissed my dog good morning and she bounced happily out of bed. Down the stairs we went and made some tea and scrubbed the kitchen clean. I drove to work listening to happy music, I greeted everyone with a smile, I sent out 'Good Morning!' texts. I greeted my work crew and checked in with them and I made another cup of tea. Then I opened my reader and found just what I needed to read on Elephant Journal :","each morning when we roll out of bed we are given the world we can make that day into anything we want just by starting the day right i must admit most mornings i hit snooze times each time dreading more the next time it goes off the second that alarm goes off i flood my head with negative thoughts ugg its another work day i wonder what fires i will have to put out today i cant wait until today is over why did he break up with me",91,"ill","ill","5","me","51D","give","4","ill","41A","ill","41B","with","52J","ill","41C","ill","31A","me","42C","me","42E",0.450000000011642,TRUE
"123","RYAN: You can’t go wrong with pairing food and friends.","ryan you",3,"can’t","one","21","death","21","going","2","borrow","2","be","2","been","2","i","2","like","2","see","2","now","2",0.069999999992433,FALSE
"124","This is a physical attack. The bible say that our mouths are sharp and deadly poison it also says that Gods word is a sharp two edged sword that cuts to the bone and marrow.","this is a physical attack the bible say that our mouths are sharp and deadly",16,"poison","deadly","41C","it","3","deadly","31B","and","42F","poison","3","deadly","32C","it","2","on","2","poison","2","impacts","2",0.279999999998836,TRUE
"125","I crack open each pack","i open each",4,"pack","pack","3","each","31B","sunday","2","onto","2","marked","2","ends","2","game","2","radio","2","dreading","2","wrapper","2",0.110000000000582,TRUE
"126","13. At 29,500 sq. ft., Universal Studios’ Stage 12 is the 7th largest soundstage in the world. It was originally built for the 1929 musical Broadway.","at sq ft universal studios’ stage",7,"is","the","2","without","2","th","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139999999999418,FALSE
"127","It was not a brighter day in Nassau. It rained the entire trip but we were going on the island this time. You can’t let a little rain ruin your vacation. It is all about how you make your experience. We even made fashionable rain outfits out of trash bags! Some of us had on dresses, cardigans, and coats made out of a plastic bag. It was hilarious and we dressed it up with accessories like belts. When we got off the ship we ran to the island, which we didn’t need to do because there were shuttles taking us from the ship to the entrance of the island. We got wet for nothing but we kept pressing on.","it was not a brighter day in nassau it rained the entire trip but we were going on the island this time you can’t let",26,"a","at","32C","look","32C","go","2","know","2","get","2","say","2","little","2","stand","2","associate","2","bloom","2",0.150000000008731,FALSE
"128","Here's to getting speedy!","heres to",3,"getting","getting","3","fun","21","getting","21","clip","21","revised","21","able","2","sure","2","seen","2","care","2","car","2",0.069999999992433,TRUE
"129","Yep, that’s right, yawnology - the field of science dedicated to the study of yawns. Alright, I made that word up, but there really is quite a bit of research devoted to the phenomenon of yawning. It might sound frivolous and boring, but I assure you it is neither of those.","yep that’s right yawnology the field of science dedicated to the study of yawns alright i made that word up but there really is quite a bit of research devoted to the phenomenon of yawning it might sound frivolous and boring but i assure you it is neither",49,"of","of","5","of","4","of","41A","of","41B","is","52J","those","3","of","31A","is","42F","of","41C","a","41C",0.430000000007567,TRUE
"130","and the dust rises","and the",3,"dust","world","3","way","3","media","3","cause","3","little","3","well","3","person","3","first","3","look","3","city","3",0.0399999999935972,FALSE
"131","Here is a wide shot of the family room. The front door is on the right side of where I'm standing to shoot this picture and the staircase is to the left.","here is a wide shot of the family room the front door is on the",16,"right","right","5","the","51D","right","41A","right","41B","on","52J","side","4","right","41C","the","42C","the","42E","the","42F",0.539999999993597,TRUE
"132","I created formats for my comics, books, CD’s, DVD’s…even my video games. I’d like to talk about the books.xml file I put together, and how it’s changed across 7 years.","i created formats for my comics",7,"books","books","4","books","3","books","2","books","31A","my","32C","books","31B","wedding","31B","mother","31B","i","31B","card","31B",0.25,TRUE
"133","Romantic fiction - aimed at adults","romantic",2,"fiction","and","2","comedy","2","fiction","2","leads","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"134","HopeNChange™ - it's what's for dinner ...","hopenchange� its whats",4,"for","dinner","3","dinner","2","for","3","interesting","2","worse","21","cool","21","like","21","days","21","will","21","good","21",0.0800000000017462,TRUE
"135","Let our voices sing Him our praises","let our",3,"voices","sing","3","voices","3","go","21","in","2","know","21","get","21","say","21","little","21","stand","21","associate","21",0.0700000000069849,TRUE
"136","Look closely, though, and the belief in a 2012 apocalypse has a great deal in common with the belief that asset prices can have an infinite upside. Both beliefs offer grand narratives that replace the ordinary patterns of human existence with a something-for-nothing fantasy. The bubble believers insist that they can have limitless wealth without having to work for it; the 2012 believers insist that they can have the new and improved world they think they want—whether that amounts to a new age of enlightenment, on the one hand, or a Hollywood movie world of heroic survivors blazing away against hordes of roving zombies, on the other—without having to work for it. In either case, what drives the fantasy is the conviction that it makes sense to sit on your backside and wait for the market, or the space brothers, or something else to give you the future you think you deserve.","look closely though and the belief in a apocalypse has a great deal in common with the belief that asset prices can have an infinite upside both beliefs offer grand narratives that replace the ordinary patterns of human existence with a somethingfornothing fantasy the bubble believers insist that they can have limitless wealth without having to work for it the believers",62,"insist","insist","3","believers","41C","insist","2","city","42E","the","52J","in","52J","the","42F","in","42F","way","31B","media","31B",0.399999999994179,TRUE
"137","Went to Di's big 50 Birthday bash and even the dull weather didn't stop us having a great time....food from her youth, plenty of drink, playing on the Xbox and a tune on the sax what more could a birthday need!.... Oh good chums.... SORTED.","went to dis big birthday bash and even the dull weather didnt stop us having a great timefood from her youth plenty of drink playing on",27,"the","the","4","on","41C","the","31A","xbox","3","the","31B","on","32C","the","3","that","3","on","31B","on","32B",0.350000000005821,TRUE
"138","But at this morning’s preview, he defended the remark, saying: ‘I am concerned with comfort. I know that it’s important but I don’t want to have this evoked in my design.","but at this morning’s preview he defended the remark saying ‘i am concerned",14,"with","with","3","moral","2","comfort","2","eating","2","god","21","life","21","good","21","grateful","21","wife","21","planning","21",0.209999999991851,TRUE
"139","For example, just this lunchtime a nice account man named Matt was sent out in the pouring rain to deliver a laptop and broadband stick to some senior suits and clients. What was so important? Well, they were on a lunch jolly and they fancied looking at their website.","for example just this lunchtime a nice account man named matt was sent out in the pouring rain to deliver a laptop and broadband stick to some senior suits and",31,"clients","clients","3","and","31B","suits","42F","suits","32C","clients","21","entrylevel","21","easy","32A","the","32A","a","32A","half","2",0.260000000009313,TRUE
"140","Hubby and I have never been to one of the celebrations, but so many people visit that there would be no place to park, and no way to get near the elephant enclosure anyway. Packy's parties have always been very popular events, and today thousands are expected to wander through the gates to visit him.","hubby and i have never been to one of the celebrations but so many people visit that there would be no place to park and no way to",29,"get","get","5","to","51D","near","4","get","41A","get","41B","way","52J","get","41C","to","42C","to","42E","to","42F",0.469999999986612,TRUE
"141","On top of the onion massacre, there was the prospect of cleaning the turquoise chopper, which by the way, isn’t the easiest thing to do. I damn near mutilated my hand with the stainless steel blades while trying to clean all the slightly inaccessible areas under the plastic cover! I thought this was supposed to simplify my life, not take it!","on top of the onion massacre there was the prospect of cleaning the turquoise chopper which by the way isn’t the easiest thing to do i",27,"near","damn","5","damn","41A","damn","41B","damn","41C","do","42F","i","32B","need","4","near","4","waiting","4","up","4",0.420000000012806,TRUE
"142","Rating - 5 out of 5","rating",2,"out","of","2","system","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999895226,FALSE
"143","Denis Gagnon, Jeremy Laing, Lida Baday, Line RUNWAY, Mikhael Kale, Pink Tartan, Smythe, Wayne Clark, Wings + Horns","denis gagnon jeremy laing lida baday line runway mikhael kale pink tartan smythe wayne clark",16,"wings","wings","3","clark","31B","horns","2","wayne","32C","wings","2","wings","21","clark","21",NA,NA,NA,NA,NA,NA,0.220000000001164,TRUE
"144","This association is like Summer in a mouthful, if Summer were to decide she got a little tired of eating salad and drinking water all day long. This is the part when Summer gets fun.","this association is like summer in a mouthful",9,"if","if","4","fish","51D","mouthful","41C","a","52J","summer","3","summer","2","if","31A","a","42F","fish","42C","mouthful","32B",0.370000000009895,TRUE
"145","It is changing the landscape of education.","it",2,"is","provide","2","inspired","2","necessary","2","been","2","so","2","day","2","like","2","school","2","see","2","time","2",0.0299999999988358,FALSE
"146","As a result, it was immensely refreshing for me to read the below article by Aadil Palkhivala, an Ayurvedic practitioner who is widely regarded as one of the world’s top yoga teachers. Things that particularly resonated with me are his simple yet powerful statements like ‘There is no perfect diet, and no ideal food. I encourage you to monitor your food intake to determine what works for you and what doesn’t—diet has to be adjusted individually’. Good common sense in many respects, and principles that are easy to follow and live by. I look forward to reading much more from this wise man! (See the original article at http://www.yogajournal.com/for_teachers/697?utm_source=DailyInsight&utm_medium=newsletter&utm_campaign=DailyInsight).","as a result it was immensely refreshing for me to read the below article by aadil palkhivala an ayurvedic practitioner who is widely regarded as one of the world’s top yoga teachers things that particularly resonated with me are his simple yet powerful statements like ‘there is no perfect diet and no ideal food i encourage you to monitor your food intake to determine what works for you and what doesn’t—diet has to be adjusted individually’ good common sense in many respects and principles that are easy to follow and live by i look forward to reading much",99,"more","more","4","more","3","more","31B","much","31B","tv","31A","less","31A","stronger","31A","more","31A","our","32C","working","32C",0.220000000001164,TRUE
"147","When all the milk is added","when all the milk",5,"is","is","5","is","4","is","41A","is","41B","is","41C","added","3","is","31A","is","3","added","2","for","2",0.269999999989523,TRUE
"148","There! No more blank page.","there no more",4,"blank","blank","4","less","3","blank","31A","to","31A","page","3","no","3","healing","31A","time","31B","one","31B","hiding","31B",0.0899999999965075,TRUE
"149","I did actually sew the faux stitching on my sewing machine, but the thread ran out, so I just left the wholes and markered the stitching... I love these papers, but were a little too soft so added a good rub of ink... including to the ribbon and button...","i did actually sew the faux stitching on my sewing machine but the thread ran out so i just left the wholes and markered the stitching i love these papers but were a little too soft so added a",40,"good","good","5","little","51C","a","51D","rub","4","good","41A","good","41B","good","41C","little","42B","a","42C","a","42E",0.460000000006403,TRUE
"150","So God suffers, in other words we suffer, especially our most male component that tries to do good. In other words we believe that any really good men will need to suffer to the point of dying, which in turn will make accompanying good women suffer accordingly, which in turn will make it even harder for people not particularly good at life to catch a break, and since it will be done unto us as we believe, no wonder we can’t seem to stop killing each other incessantly for even two minutes at any given point in time. No wonder we keep ourselves perpetually too lazy to clean up after our own filth, or toss a can in a recycling bin. No wonder those of us who believe that God is greater than the consciousness of a suffering person constantly have to work harder after those who insist on worshipping suffering itself as though it is their own God; as if it is themselves. Since it shall be done unto us as we believe, or at least so says that guy supposedly, can we stop believing in a suffering God now and start believing in a happy one? It seems to be what Jesus would have wanted for us; to believe in a happy God. Or would anyone rather believe in a God that wants us to suffer?","so god suffers in other words we suffer especially",10,"our","especially","31B","believe","32C","suffer","32C","poor","21","the","21","john","2","of","2","the","2","a","2","i","2",0.19999999999709,FALSE
"151","I collect everything African from artifacts and books to my gatherings from the countryside around me. Here are just a few of the books in my collection.","i collect everything african from artifacts and books to my gatherings from the",14,"countryside","the","31B","word","32A","from","32C","will","3","room","3","end","3","duke","3","hes","3","lucas","3","thread","3",0.220000000001164,FALSE
"152","When you on the internet possibly even feel the number of choices, you quickly discover how there is work of fiction accessories tips on how to techniques to bag a designer handbag round judgement.","when you on the internet possibly even feel the number of choices you quickly discover how there is work of fiction accessories tips",24,"on","on","3","how","2","break","2","retail","2","techniques","2","on","21","like","21","tips","21",NA,NA,NA,NA,0.169999999998254,TRUE
"153","The patent-in suit, simply put, is a computerized method for securing debt with future credit card receivables. While the patent inventor, Barbara Johnson, implemented an aggressive marketing and business development program that brought this financing method to widespread use, she did not invent a new business method. Rather, Johnson built on long-established prior art, packaged the idea in a","the patentin suit simply put is a computerized method for securing debt with future credit card receivables while the patent inventor barbara johnson implemented an aggressive marketing and business development program that brought this financing method to widespread use she did not invent a new",46,"business","new","51D","new","41C","a","52J","new","31B","new","42C","new","42E","new","42F","new","32C","a","42F","a","32C",0.309999999997672,FALSE
"154","Non-seasonally adjusted stats","nonseasonally",2,"adjusted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"155","Both Jan (here) and someone calling himself Bill in Oz (here) have recently mentioned an idea of the follower in tango accompanying the leader, as a way of resolving the problems of possible negative connotations of the term ""follower."" I've been giving this some thought...","both jan here and someone calling himself bill in oz here have recently mentioned an idea of the follower in tango accompanying the",24,"leader","leader","21","good","21","upstairs","32A","end","32A","house","32A","year","32A","morning","32A","first","32A","face","32A","process","32A",0.190000000002328,TRUE
"156","The man at the Auto-Body-Repair Shop said he'd lend me a courtesy car, and so he did. It was quite a nice car in some ways, apart from the rattles, the rust and the black smoke, but it was very small and had a ridiculously low bucket seat, the type that has a 6 inch ledge all round your thighs. With great difficulty I managed to manouevre myself into this ground-level driving seat, with my legs sticking horizontally forward into the well. I drove off, noticing as I did so that the car wouldn't go into second gear, and shortly afterwards, that the petrol gauge registered zero.","the man at the autobodyrepair shop said hed lend me a courtesy car and so he did it was quite a nice car in some ways apart from the rattles the rust and the black smoke but it was very small and had a ridiculously low bucket seat the type that has a inch ledge all round your thighs with great difficulty i managed to manouevre myself into this groundlevel driving seat with my legs sticking horizontally forward into the well i drove off noticing as i did",89,"so","so","5","so","41A","so","41B","so","41C","i","42F","like","4","spent","4","that","4","i","31A","so","31A",0.369999999995343,TRUE
"157","In other words, the use of mantras are not God pleasing. God does not want anyone approaching Him in a senseless manner. He wants us to rightfully use the mind He created for us. To approach the most holy LORD of all, without using the gift of our full senses is an abomination and a gross sign of disrespect. It’s being silly — and we are not to act silly before God Almighty. That is sinful.","in other words the use of mantras are not god pleasing god does not want anyone approaching him in a senseless manner he wants us to rightfully use the mind he created for us to approach the most holy lord of all without using the gift of our",49,"full","full","5","full","4","full","41A","full","41B","full","41C","full","31A","of","42F","full","31B","our","32C","our","41C",0.389999999999418,TRUE
"158","Returning to Singapore, we both were taken on as legal assistants in Laycock & Ong, a thriving law firm in Malacca Street. Then we married officially a second time that September 1950 to please our parents and friends. She practised conveyancing and draftsmanship, I did litigation.","returning to singapore we both were taken on as legal assistants",12,"in","in","3","assistants","31B","legal","42F","legal","32C","when","2","card","2","laycock","2","to","21","in","21","battle","21",0.220000000001164,TRUE
"159","Our bus, when it came, carried us across our blue and orange bridge with a neon Rapunzel residing in one of the towers. I was sitting with Gray who informed me as we bounced across its grated surface, ""This is a opening up bridge.""","our bus when it came carried us across our blue and orange bridge with a neon rapunzel residing in one of the towers i was sitting with gray who informed me as we",34,"bounced","bounced","4","we","41C","bounced","31A","as","42F","we","32B","bounced","31B","baker","31B","it","31B","they","31B","if","32C",0.330000000001746,TRUE
"160","I thought I had ended The Shade Of The Moon last Tuesday (or was it Wednesday- I don't remember, but it was one of those days that started with last), and then I was going to Washington DC (I did, and I have the pictures to prove it), and then I was going to spring clean my apartment.","i thought i had ended the shade of the moon last tuesday or was it wednesday i dont remember but it was one of those days that started with last",31,"and","then","3","last","31B","with","32C","and","3","old","32B","a","32B","this","32B","year","2","night","2","week","2",0.229999999995925,TRUE
"161","Stay posted (or subscribe) to see pictures of the finished set before anyone other than me gets to touch it!","stay posted or subscribe to",6,"see","see","4","see","3","see","31B","see","21","subscribe","32C","to","31B","see","31A","care","31A","share","31A","capture","31A",0.210000000006403,TRUE
"162","Luckily, there is one male LPN on duty tonight to share the task. So I do what I am trained to do. I step up on that step stool and position my clasped hands just above the tip of the sternum. Whatever sleepiness that had settled in during my uneventful evening was now flushed away with a sea of adrenaline. I begin to throw all my weight into compressing this man's rib cage as I repeatedly check his pulse rate on the monitor. Too slow or too shallow and I'm not circulating enough blood.","luckily there is one male lpn",7,"on","on","5","duty","4","on","41A","on","41B","on","41C","duty","3","duty","2","on","31A","here","42F","on","31B",0.389999999999418,TRUE
"163","My “Cornish” daughter was still in evidence today – this one may run and run. She laughs with us about it and to hear a nearly 8-year old answer everything with “…my lover” in a broad accent is funny.","my “cornish” daughter was still in evidence today – this one may run and run she laughs with us about it and to hear a nearly year old answer",30,"everything","old","42F","becomes","2","everything","2","daughter","31B","answer","31B","old","32C","right","21","just","21","around","21","model","21",0.19999999999709,TRUE
"164","The neighbor’s wife, who had just returned from shopping at the grocery store, saw her husband’s mouth on the woman’s mouth and slammed her husband in the back of the head with a bag of canned goods, knocking him out and cutting his scalp to a point where it needed stitches.","the",2,"neighbor’s","catholic","2","york","2","sheet","2","marathon","2","woman","2","store","2","tooth","2","upstairs","2","states","2","during","2",0.0299999999988358,FALSE
"165","These are just a few suggestions. Where will you be heading for your spring travel this year?","these are just a",5,"few","few","5","few","41A","few","41C","part","4","of","4","of","41B","few","41B","few","32A","a","32B","few","4",0.309999999997672,TRUE
"166","The show was marred only by Annoying Forced Laugh Guy who clearly was trying to make an indelible impression for the recording.","the show was marred only by annoying forced laugh guy who clearly was trying to make an indelible impression",20,"for","indelible","42F","impression","21","indelible","32C","the","2","him","2","recording","2","sort","2",NA,NA,NA,NA,NA,NA,0.210000000006403,FALSE
"167","You are always with me","you are",3,"always","a","3","another","3","big","3","weasel","3","wild","3","crazy","3","alone","3","the","3","to","3","is","3",0.0399999999935972,FALSE
"168","Book-The Lost Hero","bookthe",2,"lost","hero","2","lost","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"169","The housing payout shock comes after the hook-handed cleric won the right to keep his British ­citizenship. That victory raised fears he will be successful in his fight to avoid extradition to the US to face terror ­charges.","the housing payout shock comes after the hookhanded cleric won the right to keep his british �citizenship that victory raised fears he will be successful in his fight to",30,"avoid","avoid","4","avoid","3","to","41C","avoid","31B","to","32B","to","31B","make","31A","check","31A","avoid","31A","the","31A",0.339999999996508,TRUE
"170","Well… It all started when I had a summer class with a group of High School girls. They kept talking about these dramas… How cute the men were .. How pretty the girls were… how they cried and laughed and just fell in love with every character. I thought awww… isn’t that cute. Their little obsession ..aww to be a teenager again. I figured I needed to stay hip and on top of the latest fads.. being a teacher… so I had better watch one so I can identify with my teenage girl students….Then OMG…I was hooked. Oh… they are like .. extended versions of our afterschool specials but with a little more humor and action.","well� it all started when i had",8,"a","a","5","a","41A","a","41B","a","41C","i","42F","family","4","summer","4","a","31A","had","32B","a","4",0.380000000004657,TRUE
