"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"172","all may hear th’effectual call,","all may hear",4,"th’effectual","hear","31B","the","2","who","2","as","2",0.549999999995634,FALSE
"173","I know I posted this picture a while back, but I didn’t write what I was thinking or I tried to post with my iPhone and the text didn’t show up. Anyway, here’s what I was thinking when I snapped the photo.","i know i posted this picture",7,"a","this","52J","picture","31B","this","42F","this","32C",0.590000000003783,FALSE
"174","Learning Time","learning",2,"time","face","2","to","2","i","2","for","2",0.0499999999956344,FALSE
"175","compost rich soil for raised beds","compost rich soil for raised",6,"beds","beds","4","beds","3","raised","41C","beds","31A",0.510000000002037,TRUE
"176","Perception According to Sankhya Philosophy","perception according to sankhya",5,"philosophy","philosophy","2","the","31B","sa","31B","that","31B",0.220000000001164,TRUE
"177","Today, it’s Summer.","today it’s",3,"summer","ill","21","the","21","of","21","been","21",0.069999999999709,FALSE
"178","My parents have had the same phone number since I was two years old, which means it's been the same number for a very long time.","my parents have had the same phone number since i was two years old which means its been the same number for a very",25,"long","time","4","very","41C","long","31A","a","42F",0.620000000002619,TRUE
"179","Audi’s Q3 is an interesting proposition. It’s aimed squarely at the BMW X1 and offers decent performance from a range of small petrol and diesel engines. Combining sporty premium SUV features in a compact body, the Q3 range starts at R370,000. It looks a little ordinary but its strength will be in ride, road holding and luxury interior. In a move that is most unlike Audi, there are some really funky colours available for the Q3. Google “Samoa Orange” if you don’t believe me.","audi’s q is an interesting proposition it’s aimed squarely at the bmw x and offers decent performance from a range of small petrol and diesel engines combining sporty premium suv features in a compact body the q range starts at r it looks a little ordinary but its strength will be in ride road holding and luxury interior in",60,"a","a","4","move","3","a","31A","a","31B",0.629999999997381,TRUE
"180","I also purchased various dried herbs- these are often served on a Greek salad and mixes for making authentic tzatziki. And of course some real Feta cheese. Rich and creamy, salty, moist and slightly sour, semi-solid and certainly not hard and tasteless like you often find here.","i also purchased",4,"various","a","2","extra","2","various","2","to","31B",0.180000000000291,TRUE
"181","As if these were not enough of a reason for both to remember the fixture, Alan Ball broke his leg by, in his own words, sitting on it. That injury kept the England midfielder out of his country’s end of season tour; the FA had to do something given England’s failure to qualify for the World Cup finals in West Germany that summer.","as if these were not enough of a reason for both to remember the fixture alan ball broke his leg by in his own words",26,"sitting","words","51D","words","41C","own","52J","on","3",0.739999999997963,FALSE
"182","Although there is beautiful scenery, “Treasure Island” takes an unflinching look at the hardships of the seafaring life and features genuine tension. After the camp silliness of “Pirates of the Caribbean,” the authenticity is refreshing. As for all the stabbing and the like, well, as Long John Silver says, without violence or the threat of it, “other men take what’s yours and they live the life that should be yours.”","although there is beautiful scenery “treasure island” takes an unflinching look at the hardships of the seafaring life and features",21,"genuine","genuine","3","and","32C","a","2","this","31B",0.510000000002037,TRUE
"183","The cellphone number was not answered on Sunday, however.","the cellphone number",4,"was","was","3","number","31B","was","21","of","31A",0.239999999997963,TRUE
"184","Excellent hook! I can’t imagine anyone not wanting to read what comes after that. Let’s reel ‘em in with an excerpt … three sentences long! Yep, that’s it. Three!","excellent hook i can’t imagine anyone not wanting to read what comes after that let’s reel ‘em",18,"in",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"185","I also have no idea what she's eating, how much she's exercising, what she's learning, how she's learning, whether she's tidying up after herself, whether she's minding her manners, how she's spending her money, what music she's listening to, how much TV she's watching, whether she's brushing her teeth and wearing her retainers, and so on and so on. I don't ask, she doesn't offer, I just don't know.","i also have no idea what shes eating how much shes exercising what shes learning how shes learning whether shes tidying up after herself whether shes minding her manners how shes spending her money what music shes listening to how much tv shes watching whether shes brushing her teeth and wearing her retainers and so on and so on i dont",62,"ask","ask","51A","ask","51B","dont","51D","she","4",1.28000000000611,TRUE
"186","Won’t force it because to break this beautiful cycle would be suicide.","won’t force it because to break this beautiful",9,"cycle","cycle","3","beautiful","31B","the","32C","to","32C",0.629999999997381,TRUE
"187","I slammed on my brakes and surveyed the scene. I could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds. As a neighbor and Mr. Dorsey rushed to Michael’s aid I turned around and rode as fast as I could to his house, back up the hill on Rittenhouse and a right turn onto 48th Avenue. A block later as I turned left, onto our street, I passed Michael’s five-year old sister Sandy at the corner and shouted to her as I passed, “Michael’s been hit by a car!” Climbing the stairs to their front porch I pounded on the open screen door and shouted inside repeating to his parents what I had just told Sandy moments before. His dad rushed out the door and leaped from their porch yelling frantically “Where? Where?” I said “Down the hill on Rittenhouse Street!” I struggled on my bike to keep up with Michael’s father as he ran like a racehorse to his son’s side. Michael’s mother arrived soon behind as I watched from a short distance away.","i slammed on my brakes and surveyed the scene i could hardly breathe and was momentarily overwhelmed with the sights and sounds of those few seconds as a neighbor and mr dorsey rushed to michael’s aid i turned around and rode as fast as i could to his house back up the hill on rittenhouse and a right turn onto th avenue a block later as i turned left onto our street i passed michael’s fiveyear old sister sandy at the corner and shouted to her as i passed “michael’s been hit by a car” climbing the stairs to their front porch i pounded on the open screen door and shouted inside repeating to his parents what i had just told sandy moments before his dad rushed out the",130,"door","door","4","the","41C","door","31A","out","42F",0.669999999998254,TRUE
"188","-Necklace-J Crew Factory","necklacej crew",3,"factory","crew","21","that","2","these","2","thought","2",0.110000000000582,FALSE
"189","There’s lots to talk about in the wonderful world of CurrantC™. Mother’s Day is right around the corner and we’re featuring a new gift basket, perfect for mom. It contains our now famous Dark Chocolate with Black Currants, our brand new delicious Black Currant coulis, a beautiful fragrant currant candle, CurrantC™ All Natural Black Currant Nectar and delicious and healthy genuine dried Black Currants. Click here to order.","there’s lots to talk about in the wonderful world of currantc� mother’s day is right around the corner and we’re featuring a new gift basket",26,"perfect","perfect","3","basket","41C","basket","31B","gift","42F",0.569999999999709,TRUE
"190","if there was some malice afoot; after all, these had generally been allies of the British, culturally and historically, and their exclusion and segregation may have been intended to create an artificial rift in this historical symbiosis on the part of an unashamedly anti-British regime.","if there was some malice afoot after all these had generally been allies of",15,"the","the","4","the","3","the","31B","the","31A",0.489999999997963,TRUE
"191","We lost touch after that as we were living very different lives. One day as I was bravely pushing a double pram up a hill in my local shopping centre, his mother walked by. She stopped to chat and I proudly showed off my two babies. I asked how my ex was doing and she told me that he was about to be married for the second time, and that he had recovered from ‘his breakdown’. Immediately I remembered the shaking hands and the lost look in his eye. So the past had caught up with him after all.","we lost touch after that as we were living very different lives one day as i was bravely pushing a double pram up a hill in my local shopping centre his mother walked by she stopped to chat and i proudly showed off my two babies i asked how my ex was doing and she told me that he was about to be married for the second time and that he had recovered from ‘his breakdown’",77,"immediately",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"192","As kings and queens bow and play for you","as kings and",4,"queens","queens","4","queens","31B","you","3","bow","3",0.280000000006112,TRUE
"193","The following recipe for homemade chocolate ice cream posted by Joana is too tempting to pass up. The next week is littered with time in the community, so it will be long, hot days sitting on concrete floors in pagodas and listening to translations. (It's surprising how tiring translations can be.) Chocolate ice cream would be a nice treat ...","the following recipe for homemade chocolate ice cream posted by joana is too tempting to pass up the next week is littered with time in the community so it will be long hot days sitting on concrete floors in pagodas and listening to translations its surprising how",48,"tiring","how","31B","i","31A","do","31A","a","21",0.479999999995925,FALSE
"194","He is not wrapped in warm garment,","he is not wrapped",5,"in","in","5","in","4","in","41A","in","41B",0.540000000000873,TRUE
"195","The first time I saw the end of Michelangelo Antonioni’s L’Eclisse I felt I had been caught off guard, disoriented. The film ends with a string of desolate shots without any narrative progression, shown one after another. For most of the film we had been following the drama of the central characters. Suddenly, for the last seven minutes, the characters we have come to know have disappeared — and yet the film continues. We see deserted streets, shadows, anonymous strangers. Without the characters to ground us in story, the presence of the camera itself seems stronger. We become aware of it as an apparatus, a seeing-device that acts as its own separate entity. There is camera movement (panning, following a figure walking on a street) which suggests that something is about to be revealed; it seems Antonioni is trying to tell us something. There are some wide, long takes from above that slowly pan around as if surveying the streets. Trees rustle in the wind. A man in a suit rounds a corner. A toddler looks up at his mother. A close up of a man’s earlobe. A stream of water flows into the gutter. “Yes, what is it Antonioni?” I remember thinking, “What are you trying to show us?” I was searching for meaning, for story. A streetlamp burns brightly. The music crescendos. The film is over. There is an elegance to this sequence that I cannot quite explain.","the first time i saw the end of michelangelo antonioni’s l’eclisse i felt i had been caught off guard disoriented the film ends with a string of desolate shots without any narrative progression shown one after another for most of the film we had been following the drama of the central characters suddenly for the last seven minutes the characters we have come to know have disappeared — and yet the film continues we see deserted streets shadows anonymous strangers without the characters to ground us in story the presence of the camera itself seems stronger we become aware of it as an apparatus a seeingdevice that acts as its own separate entity there is camera movement panning following a figure walking on a street which suggests that something is about to be revealed it seems antonioni is trying to tell us something there are some wide long takes from above that slowly pan",155,"around","as","3","pan","31B","slowly","32C","around","3",0.459999999999127,TRUE
"196","If this is your first novel, there's a lot of merit to the advice I hear from established writers: put the first one under the bed, and write the next.","if this is your first novel theres a lot of merit to the advice i hear from established writers",20,"put","her","32C","by","21","the","2","a","2",0.430000000000291,FALSE
"197","Through trial and error I have found what works for me and what doesn't.","through trial and error i have found what works for me and what",14,"doesnt","doesnt","4","doesnt","31A","and","42F","time","41C",0.669999999998254,TRUE
"198","06-Eyesight To The Blind","eyesight to the",4,"blind","the","31B","front","3","service","3","the","3",0.220000000001164,FALSE
"199","They've never really done one before and I have to say, this one was quite a doozy! Our backyard is right at the tee box of a golf course, so they sat in our yard and caught all the golfers passing. At 25 cents a cup (and they sold some cookies for 50 cents each) $15 total is not a bad profit! They were stoked. And wanted to do it again the next day. I told them they couldn't or the city might shut them down for making too much money. :)","theyve never really done one before and i have to say this one was quite a doozy our backyard is right at the tee box of a golf course so they sat in our yard and caught all the golfers passing at cents a cup and",47,"they","they","5","and","51D","sold","4","they","41A",0.860000000000582,TRUE
"200","as the baby Jesus","as the baby",4,"jesus","jesus","4","jesus","31A","the","3","i","3",0.260000000002037,TRUE
"201","I finished the whole costume by putting on more clay divets.","i finished the whole costume by",7,"putting","putting","3","by","41C","by","31B","by","32B",0.529999999998836,TRUE
"202","‘Oh, I don’t mind,’ she said. ‘I’m in no hurry. I’m on my way to a hospice.’","‘oh i don’t mind’ she said",7,"‘i’m","was","3","he","3","i","3","those","3",0.389999999999418,FALSE
"203","We laugh about it now, but it wasn't funny then.","we laugh",3,"about","it","3","about","3","the","2","a","2",0.139999999999418,TRUE
"204","As I walk with you I'm learning","as",2,"i","way","2","go","2","moved","2","new","2",0.0500000000029104,FALSE
"205","Writers worry a lot about theft and plagiarism. They really don't need to; theft of unpublished work is so rare as to be functionally nonexistent. It's not till your work is published--i.e., exposed to a wide audience--that the issue of plagiarism comes into play.","writers worry a lot about theft and plagiarism they really dont need to theft of unpublished work is so rare as to be functionally nonexistent its not till your work is publishedie exposed to a wide audiencethat the",39,"issue","first","31A","issue","21","of","32C","shot","32C",0.439999999995052,TRUE
"206","Just another feeling.","just",2,"another","one","2","another","2","say","2","want","2",0.0500000000029104,TRUE
"207","I got a bit carried away and assumed that a couple of good performances in the Carling Cup augured a fine career. I mean, if that was how well they could play on their debuts then they could only improve from there, right?","i got a bit carried",6,"away","away","4","carried","41C","and","3","away","31A",0.669999999998254,TRUE
"208","I have been so busy.","i have",3,"been","say","3","not","3","seen","3","an","3",0.110000000000582,FALSE
"209","60,000 - The number of people in Zimbabwe now infected by cholera, according to the World Health Organization (WHO). Cholera has now claimed the lives of more than 3,000 people in Zimbabwe. The epidemic of the disease, has been fueled by the collapse of Zimbabwe’s water, sanitation and health systems. Many hospitals have shut down and most towns suffer from poor water supply, broken sewers and uncollected waste. With the upcoming rainy season even more infections could occur as water sources become contaminated.","the number of people in zimbabwe now infected by cholera according to the world health organization who cholera has now claimed the lives of more than people in zimbabwe the epidemic of the disease has been fueled by the collapse of zimbabwe’s water sanitation and health systems many hospitals have shut down and most towns suffer from",58,"poor","poor","3","from","31B","suffer","32C","the","21",0.510000000002037,TRUE
"210","We demand immediate release of the 11 arrested along with all other activists.","we",2,"demand","like","2","work","2","the","2","of","2",0.0299999999988358,FALSE
"211","Im lame but I dont read often!! hah if I could chose one book it would be twilight, the last book, because it is really the only book I can remember reading in the past few years.","im lame but i dont read often hah if i could chose one book it would be twilight the last book because it is really the only book i can",31,"remember","remember","4","can","41C","can","51D","list","51D",0.860000000000582,TRUE
"212","June 21, 2011 — A defence-called forensic botanist challenges the prosecution’s theory of when the body was placed at the crime scene. An expert in analytical chemistry who works with Dr. Vass challenges the process of testing for the presence of chloroform.","june — a defencecalled forensic botanist challenges the prosecution’s theory",11,"of","that","2","when","2","food","2","body","2",0.279999999998836,FALSE
"213","The poor Gaga-a-like stood there, tears tripping her, till she were pushed into the wall and the hordes chased the ticket-stealer.","the poor gagaalike stood there tears tripping her till she were pushed into the wall and the",18,"hordes","hordes","4","the","41A","the","41C","hordes","31A",0.720000000001164,TRUE
"214","Let's go where they keep on wearin'","lets go",3,"where","with","3","they","3","up","3","walk","3",0.180000000000291,FALSE
"215","Tomorrow a favourite colour palette of mine, until then, check out some more of my stitched book paper pieces here.","tomorrow a",3,"favourite","favourite","3","ill","21","are","21","i","21",0.120000000002619,TRUE
"216","Can you see her with little white pumpkins dancing across her mantel for Thanksgiving?","can you see her with little white pumpkins dancing across her mantel",13,"for","for","3","thanksgiving","2","mantel","31B","her","32C",0.519999999996799,TRUE
"217","Start Proclaiming Life and Power!","start proclaiming",3,"life","and","2","life","2","get","21","the","21",0.069999999999709,TRUE
"218","Nmachi’s, which means “beauty of God” in Nigerian, joins sisters Chisom, four, and Dunebi, two.","nmachi’s which means “beauty of god” in nigerian joins",10,"sisters","joins","31B","chisom","2","joins","21","sisters","2",0.410000000003492,TRUE
"219","Make Real Estate Work for the City – especially in the cases of cities like Baltimore and Detroit which have declined from larger populations, there is a huge untapped potential in the vacant housing and real estate for economic development. First, rehabilitation of vacant housing and real estate can be the foundation for a direct job creation program with extremely valuable production. Second, selling that housing cheaply (in the case of Baltimore for a dollar) or just giving it away to working people literally spreads the wealth while expanding the city’s tax base. As occupancy rates in these properties rise, so does the value of housing and land the city owns – building up the Metropolitan Reserve Banks in turn. Third, it can provide a real solution for homelessness by just giving people a key to an apartment and access to facilities.","make real estate work for the city – especially in the cases of cities like baltimore and detroit which have declined from larger populations",25,"there","larger","32C","the","2","is","2","country","2",0.32999999999447,FALSE
"220","MEA CULPA follows one angels quest to save his best friend.","mea culpa follows one",5,"angels","angels","3","one","31B","follows","32C","angels","21",0.30000000000291,TRUE
"221","So I've made the move across the country - I actually made the move in June, but I wouldn't say that I've really settled in until now. I've got a job, I just moved into a new apartment in Portland, and I really feel like I'm beginning my life out here.","so ive made the move across the country i actually made the move in june but i wouldnt say that ive really settled in until now ive got a job i just moved into a new apartment in portland and i really feel like",45,"im","im","4","like","41C","you","42A","blab","42D",0.779999999998836,TRUE
"222","And if you missed LM's previous planning posts on CB, you can catch up right here:","and if you missed lms previous planning posts on",10,"cb","cb","4","you","3","cb","31A","cb","31B",0.480000000003201,TRUE
"223","Director: Mark Goldblatt","director",2,"mark","the","2","rial","2","school","2","mark","2",0.0499999999956344,TRUE
"224","I’d never even thought about this point – that there’s free, fun exercise equipment for kids all over the place, but nothing similar for grownups – until our recent trip to Heerenveen, in the Netherlands, and discovered that such a thing actually exists. Right in downtown Heerenveen, there’s a park with ….","i’d never even thought about this point – that there’s free fun exercise equipment for kids all over the place but nothing similar for grownups – until our recent trip to heerenveen in the netherlands and discovered that such a thing actually exists right in downtown heerenveen there’s",49,"a","the","21",NA,NA,NA,NA,NA,NA,0.310000000004948,FALSE
"225","However, they have a new EP coming out in a month and a bit with a song on it called The Wrong Car. I think they may have finally made a song I'm going to love more than Cold Days From The Birdhouse. I've had it on repeat since I first heard it last week - it's that good.","however they have a new ep coming out in a month and a bit with a song on it called the wrong car i think they may have finally made a song im going to",36,"love","to","51D","to","41C","going","52J","to","42C",0.779999999998836,FALSE
"226","I started playing with some old schoolers recently because I just lost the spark to run anything. I wanted to play. GM burnout you know! I was somewhat disappointed that with this old school group Pathfinder was the only game being played. Damn. I made a Wizard who was a Necromancer.","i started playing with some old schoolers recently because i just lost the spark to run anything i wanted to play gm burnout you know",26,"i","i","4","know","41C","i","31A","you","42F",0.669999999998254,TRUE
"227","Produce C-G to H such that C-G =G-H Produce B-C to D such that C-D =2”","produce cg to h such that cg",8,"gh","gh","5","gh","4","gh","51A","gh","51B",1.13999999999942,TRUE
"228","The Good: A must read. Stassen accomplishes much with few pages (less than 80!) and few words. He tells of life before and after the Genocide; he includes the various factions and entities present, from the UN peacekeeping force to the Rwandan Patriotic Front to the Interahamwe. The brevity helps; too many words would drown this story. The simplicity emphasizes the horror.","the good a must read stassen accomplishes much with few pages less than and few words he tells of life before and after the genocide he includes the various factions and entities present from the un peacekeeping force to the rwandan patriotic front to the interahamwe the brevity helps too many words would drown",55,"this","this","3","story","2","drown","31B","would","42F",0.520000000004075,TRUE
"229","The year before last, for example, I took advantage of the economy direct flights to Pisa and took an apartment in the centre of Lucca, a short train ride away. Last year, I flew to Rome, and after spending a couple of days there, took the train up to the Tuscany/Umbria border, where I collected a car to drive the short distance to my rented apartment in a village near Lake Trasimeno.","the year before last for example i took advantage of the economy direct flights to pisa and took an apartment in the centre",24,"of","of","4","of","31A","the","42F","a","3",0.609999999993306,TRUE
"230","The home should be a place of joy and laughter. Your home should be fun! Fun for your kids, fun for friends to come over, fun between you and your spouse. People want to ""hang out"" in places they enjoy with people they enjoy. Make your home that place.","the home should be a place of joy and laughter your home should be fun fun for your kids fun for friends to come over fun between you and",30,"your","your","4","and","41C","you","42F","your","31B",0.690000000002328,TRUE
"231","I'll tell you about this in a later blog, it gets worse. For now all I'll say is be prepared to rough it as a runner.","ill tell you about this in a later blog it",11,"gets","gets","5","gets","4","it","51D","gets","41A",0.930000000000291,TRUE
"232","Hyun Suk confronts M2 with the video. They all wonder how it got there and Hyun Suk asks if they’re the ones in the video. Jae Ha is about to stand but Seung Yeon stops him. Team Leader Han takes them to task and Hyun Sung speaks up-it was them. Chang Min tells him to be specific-as in who was and who wasn’t there. Hyun Suk is shrewd and asks Chang Min what he wants to say but Jae Ha speaks up, wanting to take responsibility. Chang Min scoffs at him and Hyun Suk sees it. The team sits outside later-minus Jae Ha wondering who took the video and Tae Gun rightly points out-anyone could’ve taken the movie but not everyone could have delivered it to Hyun Suk with a look at Chang Min. Chang Min owns up to it. They wonder how he could betray the team and if he had that little confidence in himself. Chang Min scoffs, at least he’s not lying like someone else, with a look at Seung Yeon! In Hyun Suk’s office, Hyun Suk asks to hear the reason Jae Ha went on stage without the company’s permission. Did he go to earn money or he wanted to show the world his talent? Jae Ha tells them he needed the money so he took the gig and everyone just helped him. Hyun Suk asks, is it for the same reason you go out with your guitar every night? Team Leader Han is stunned. Jae Ha has a part time gig and Hyun Suk knew it? At Jae Ha’s response, Hyun Suk smiles and tells him it’s good he’s honest and confident. Meanwhile, Woo Hyun is on his way back to the company from the airport. Everyone’s still pissed at Jae Ha who comes back and tells them it’ll be fine, he’ll take the blame. Seung Yeon tells Chang Min he shouldn’t have betrayed the team like this and he rounds back at her, however anyone else says things, she has no right to condemn him. He asks her if she thinks she has the right to be on the team and turns to Ji Woo too who tries to defend Seung Yeon. Before a fight breaks out, Team Leader Han walks in.","hyun suk confronts m with the video they",9,"all","all","4","all","3","they","41C","video","42F",0.629999999997381,TRUE
"233","16And said to the mountains and rocks, Fall on us, and hide us from the face of him that sitteth on the throne, and from the wrath of the Lamb:","and said to the mountains and rocks fall on us and",12,"hide","hide","5","and","51D","us","4","hide","41A",1.28000000000611,TRUE
"234","Most Likely to Make a Grown Man Cry: Where She Went by Gayle Forman","most likely to make a grown man cry",9,"where","where","4","cry","51D","cry","41C","man","52J",0.860000000000582,TRUE
"235","Austin Lau & Bing Chen, Global YouTube Creator Program Managers, recently watched The Dominic Show’s “Dating Tips: Break Ups”","austin lau bing",4,"chen","chen","4","global","3","chen","31A","chen","31B",0.339999999996508,TRUE
"236","Reasonable goals. Reasonable goals.","reasonable goals reasonable",4,"goals","goals","2","this","21","see","21","year","21",0.110000000000582,TRUE
"237","You think you've seen all the yanks have to offer the world? Gangsta rap, almost naked skanks with lack luster singing voices, chemical soup that is passes of as food? How about unsustainable debt or ""corruption free"" finance built on mortgage backed derivatives backed by liar loans? Endless war in the name of democracy and in the cause of Islamic Jihad?","you think youve seen all the yanks have to offer the world gangsta rap almost naked skanks with lack luster singing voices chemical soup that is passes of as food how about unsustainable debt or corruption free finance built on mortgage backed derivatives backed by liar loans endless war in the",52,"name","the","41C","of","4","in","42F","name","31A",0.629999999997381,TRUE
"238","Such is the confidence of Dojo Cuts with this material that they cover the recently departed Etta James’ 1968 soul anthem ‘I’d Rather Go Blind’ – and carry it off perfectly, with Ray delivering all the soul-preaching and testifying it needs. No mean feat.","such is the confidence of dojo cuts with this material that they cover",14,"the","the","4","the","3","the","31A","all","31A",0.580000000001746,TRUE
"239","powerful and wise leader. more important than anything, true wisdom is attained by learning from","powerful and wise leader more",6,"important","more","41C","more","31B","more","32B","more","32C",0.389999999999418,FALSE
"240","Hey guys...","hey",2,"guys","up","2","said","2","pull","2","guys","2",0.0599999999976717,TRUE
"241","Take out desired number of burritos. Heat in microwave for 2-3 minutes or thaw burritos, wrap in foil and bake at 350 for 10 minutes.","take out desired number of burritos heat in microwave for",11,"minutes","for","31B","microwave","32C","minutes","21","ask","21",0.450000000004366,TRUE
"242","At some point in the future I may post about self-publishing, but it’s too late for me to get into that tonight. It is something I want to talk about, as I had a conversation about it today, and I’ve had a lot of really interesting conversations about it in the past. And especially because I don’t really know what I think of it.","at some point in the future i may post about selfpublishing but it’s too late for me to get into that tonight it is something i want",28,"to","to","4","to","31A","i","42F","want","41C",0.659999999996217,TRUE
"243","what team anna is facing is not a personal vendetta , this is how every common man who fights corruption is treated by corrupt officials and politicians in India.","what team anna is facing is not a personal vendetta this is how every common",16,"man","man","4","common","41C","who","3","man","31A",0.650000000001455,TRUE
"244","time for Congolese treasure. I don't know a year on this one, no","time for congolese treasure i dont know a year on this",12,"one","one","5","this","51D","no","4","one","41A",0.910000000003492,TRUE
"245","that my daughter will say she's going to puke","that my daughter",4,"will","say","3","i","3","it","3","her","3",0.239999999997963,FALSE
"246","13) Visits per Keyword - This metrics tells you how much traffic a keyword drives to your website from organic search. This will be a symptom of how often people search for that keyword and how well you rank for the keyword.","visits per keyword",4,"this","this","3","keyword","31B","to","2","how","2",0.209999999999127,TRUE
"247","But I had no interest in reading myself for several years.","but i had no",5,"interest","no","41C","as","4","in","4","she","4",0.520000000004075,FALSE
"248","We crossed the Stari Most to Coppersmiths’ Street (Kujundziluk). Lined with vendors selling souvenirs made by local artists and coppersmiths, many items portrayed the Old Bridge. We visited several of the little shops. One of the coppersmiths we spoke with asked where we were from and then proudly told us he had a daughter who lives in the United States.We bought a few souvenirs for ourselves and family (later, we would see all the same kinds of souvenirs in Istanbul (read about the trip here).","we",2,"crossed","like","2","work","2","the","2","of","2",0.0599999999976717,FALSE
"249","I know I haven't been around much. Preoccupied. You see, in just two weeks from today I'll be driving back to the place I spent four of the best years of my life. Oddly enough, I haven't been back since.","i know i havent been around much preoccupied you see in just two weeks from today ill be driving",20,"back","back","4","driving","41C","to","3","back","31A",0.690000000002328,TRUE
"250","That is the crown of it that means those who are thinking that maybe one day I will grow less, they are wasting their time.","that",2,"is","am","2","havent","2","know","2","best","2",0.0499999999956344,FALSE
"251","With the cooling weather I've sought to make some comfort food - a simple borlotti bean ragu. At its heart is a soffritto - onion, celery, carrot - to which I've added red capsicum and grated zucchini. Red capsicum when slowly cooked adds a lovely sweetness to the dish and grated zucchini thickens the sauce and makes it almost creamy.","with the cooling weather ive sought to make some comfort food a simple borlotti bean ragu at its heart is a soffritto onion celery carrot to which ive added red capsicum and",33,"grated","grated","3","are","31A","mardi","31A","and","31B",0.540000000000873,TRUE
"252","‘$1,091,000: Political contributions sent to federal politicians for the 2012 election cycle, making it the largest oil and gas spender’.","‘ political contributions sent to",6,"federal","prison","3","federal","3","a","21","in","21",0.269999999996799,TRUE
"253","Lewis Schaffer – Different Shit, Same Suit Mike Belgrave","lewis schaffer – different shit same suit mike",9,"belgrave","belgrave","3","mike","41C","mike","31B","mike","32B",0.440000000002328,TRUE
"254","But any book or series that gets them to read is top notch on my eyes so when we heard there was a movie coming out I pledged to take them on opening night.","but any book or series that gets them to read is top notch on my eyes so when we heard there was a movie coming out",27,"i","i","5","i","4","i","41A","i","41B",0.889999999999418,TRUE
"255","And the prednisone. The fucking prednisone. It makes me so damn hungry that it makes me angry...angry hungry sucks. You can't ignore angry hunger. You must feed angry hunger, but it's insatiable. You never stop feeling hungry with the prednisone.","and the prednisone the fucking prednisone it makes me so damn hungry that it makes me angryangry hungry sucks you cant ignore angry hunger you must feed angry hunger but its insatiable you never stop feeling hungry with the",40,"prednisone","the","31B","world","32A","with","32C","rules","3",0.480000000003201,FALSE
"256","06/24/10 BUY USDJPY 0.01 89.47","buy",2,"usdjpy","the","2","it","2","music","2","without","2",0.0999999999985448,FALSE
"257","N/A Certificate of appropriateness, if property in historic district;","na certificate of appropriateness",5,"if","of","32C","night","21","lot","21","same","21",0.169999999998254,FALSE
"258","ps. My Italian vocab/grammar knowledge is now practically non-existant. this is very, very sad and will have to be fixed immediately upon my return to the US.","ps my italian vocabgrammar knowledge is now",8,"practically","not","31B","now","31B","of","3","to","3",0.389999999999418,FALSE
"259","I finally got to read a few blogs this morning, and it seems like ""busy-ness"" and ""stress"" are consistent themes right now.","i finally got to read a few blogs this morning and it seems like",15,"busyness","are","4","seems","42F","want","41C","are","3",0.620000000002619,FALSE
"260","We used to say that we would struggle, fight, and wage Jihad, until we regain our rights, because what was taken by force will only be restored by force, and what was taken by the sword will not be restored by the pen or the word. Unfortunately, however, we have abandoned this, and we have taken the path of the so-called “peaceful solution.” We have made one concession after another.","we used to say that we would struggle fight and wage jihad until we regain our rights because what was",21,"taken","was","31B","what","32C","thinking","3","by","3",0.519999999996799,FALSE
"261","A wonderful new space with some great food and always great beer! Thank You Alan!","a wonderful new",4,"space","space","3","of","31B","one","31B","time","31B",0.260000000002037,TRUE
"262","As bad as the black parts of a banana.","as bad as the black parts of",8,"a","a","5","a","4","a","41A","a","41B",0.819999999999709,TRUE
"263","What made me so sorrowful? It was pointed out to me that my heart is not perfect and the truth of it makes me mourn. It’s what I want MORE THAN ANYTHING and it cuts cruel and deep, “Father, please cover my imperfect heart with your breastplate of righteousness”. Can I bear the Kings armor till he purifies my heart?","what made me so sorrowful it was pointed out to me that my heart is not perfect and the truth of it makes me mourn it’s what i want more than anything and it cuts cruel and deep",39,"“father","deep","41C","deep","31B","and","42F","deep","32B",0.540000000000873,FALSE
"264","My husband will add some things from time to time and I will always seek God and my husband’s approval before posting anything here. I want to make sure it is from God and not my flesh. Now I know why God has been stressing only posting His Word – Truth and to be prepared.","my husband will add some things from time to time and i will always seek god and my husband’s approval before posting anything here i want to make sure it is",32,"from","from","5","is","51D","god","4","from","41A",0.930000000000291,TRUE
"265","The Power Living Pledge","the power",3,"living","take","3","of","3","to","3","living","3",0.169999999998254,TRUE
"266","Mbeki, the Southern African Development Community's mediator in Zimbabwe, in May last year tasked six retired generals to assess the extent of the army's involvement in the political crisis.","mbeki the southern african development communitys mediator in zimbabwe in may last year tasked six retired generals to assess the",21,"extent","extent","4","of","3","extent","31B","assess","32C",0.510000000002037,TRUE
"267","1 cup of chopped assorted nuts (optional)","cup",2,"of","of","2","dvd","2","sugar","2","the","2",0.0300000000061118,TRUE
