"","origLine","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","timeToPredict","Correct","prediction8"
"62","Laura Taiby says she last saw her daughter, Laudan Taiby, as she was leaving their home in the 6700 block of Southwest 14th Avenue in the Hillsdale area about 5 p.m. Monday.","was","leaving","their","home","in","c(1629, 1632, 3610)","c(1, 1, 1)","c(741, 741, 1611)","c(2, 1067, 1762)","c(1574, 1577, 3500)","c(1751, 1887, 242)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.756439393939376, 0.807954545454526, 0.184848484848484)"
"63","Another strong month of hiring makes it less likely that the Federal Reserve will take additional steps to boost the economy at its meeting next week.","steps","to","boost","the","economy","c(3551, 3491, 3566)","c(1, 1, 1)","c(1608, 1608, 1608)","c(1381, 831, 1521)","c(3442, 3385, 3456)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"64","When Junior walked into the memorial service Sunday, ""it was a surprise to everyone,"" Doug Smith, Oceanside's postmaster, told me.","to","everyone","doug","smith","oceanside's","NA","NA","NA","NA","NA","NA","NA",0.019999999999996,FALSE,NA
"65","Perhaps it's time to make the situation worse. Or, more precisely, to square your shoulders against your guiding fear, that wave of disapproval. First, accept that it's probably coming anyway, no matter what you do.",NA,NA,NA,"perhaps","it's","NA","NA","NA","NA","NA","NA","NA",0.0200000000000031,FALSE,NA
"66","""I kept pitching like it was a one-run game,"" he said. ""I never even looked at the scoreboard.""","a","onerun","game","he","said","c(1553, 1552, 1549)","c(1, 1, 1)","c(706, 706, 706)","c(1141, 1065, 736)","c(1499, 1498, 1495)","c(295, 1010, 2016)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.204924242424241, 0.475757575757566, 0.856818181818161)"
"67","The prepaid-tuition program has stopped accepting new customers. The Illinois Student Assistance Commission says new leadership has already begun making changes and adding new safeguards.","accepting","new","customers","the","illinois","c(3551, 3491, 3566)","c(1, 1, 1)","c(1608, 1608, 1608)","c(1381, 831, 1521)","c(3442, 3385, 3456)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"68","The U.S.-led coalition routinely reports each time an American or other foreign soldier is killed by an Afghan in uniform, but the military is under-reporting the number of overall attacks. The Associated Press reported earlier this month that the International Security Assistance Force, or ISAF, does not report attacks in which the Afghan wounds  or misses  his U.S. or allied target. It also doesn't report the wounding of troops who were attacked alongside those who were killed.","associated","press","reported","earlier","this","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"69","Bon Jovi is in the middle of a stadium tour to support its latest album, “The Circle.” And tonight’s show — the first of four to be held at New Meadowlands Stadium this summer — might simply feel like “the next important one” to a group accustomed to playing shows of import.","meadowlands","stadium","this","summer","","c(3670, 3673, 3668)","c(1, 1, 1)","c(1628, 1628, 1628)","c(804, 1085, 342)","c(3559, 3562, 3557)","c(371, 604, 762)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.233712121212119, 0.321969696969692, 0.381818181818175)"
"70","4 cups chicken or fish stock",NA,NA,"","cups","chicken","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"71","He is on trial in U.S. District court with Gabor, who served as Dimora's driver and is one of the former commissioner's closest friends. Gabor's lawyer will return today to give his closing arguments and jurors could begin deliberating by the afternoon.","commissioner's","closest","friends","gabor's","lawyer","1357:1359","c(1, 1, 1)","c(622, 622, 622)","c(720, 1118, 1798)","1315:1317","c(159, 184, 380)","c(0.000378787878787879, 0.000378787878787879, 0.00165562913907285)",0,FALSE,"c(0.153409090909091, 0.162878787878788, 0.652317880794699)"
"72","While most of the wines are from Napa Valley and elsewhere in California, the international selections round out the list nicely. On any given night, 26 wines are offered by the glass (plus 17 dessert offerings), with a good selection of half bottles.",NA,"while","most","of","the","c(6969, 6975, 6970)","c(1, 1, 1)","c(5134, 5134, 5134)","c(740, 996, 813)","c(6876, 6882, 6877)","c(163, 185, 195)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0700000000000003,FALSE,"c(0.154924242424243, 0.163257575757576, 0.167045454545454)"
"73","NEWARK — A Newark woman accused of animal cruelty in a pit bull abuse case tied the dog to a railing and left New Jersey for more than a week, according to the Essex County Prosecutor’s Office.","more","than","a","week","according","c(8558, 4464, 4507)","c(1, 1, 1)","c(5799, 4030, 4030)","c(865, 151, 684)","c(8409, 4457, 4494)","c(2157, 157, 182)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0599999999999952,FALSE,"c(0.91022727272725, 0.152651515151516, 0.162121212121212)"
"74","Scholar wrote of Coleridge's plagiarism",NA,NA,"scholar","wrote","of","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"75","The investment by Ford and joint venture partner Changan Ford Mazda Automobile will expand Fords capacity in Chongqing by 350,000 vehicles, bringing total capacity to 950,000 vehicles annually.","joint","venture","partner","changan","ford","NA","NA","NA","NA","NA","NA","NA",0.0200000000000031,FALSE,NA
"76","Cejudo received a standing ovation from the nearly 14,000 in attendance in Iowa City, and he thanked them by tossing his shoes their way.","cejudo","received","a","standing","ovation","c(3, 46, 25)","c(1, 1, 1)","c(2, 2, 2)","c(157, 709, 335)","c(3, 40, 21)","c(157, 182, 232)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.152651515151516, 0.162121212121212, 0.181060606060606)"
"77","Thus, San Antonio and Oklahoma City posted the top two records in the West. San Antonio coach Gregg Popovich, not the Coach of the Year for nothing, defiantly rested his stars in a rebuke to the 66-game sprint. It worked; the Spurs won 50 games. Oklahoma City's best players aren't old enough to know tired.","for","nothing","defiantly","rested","his","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"78","""They said there was minimal contact,"" Brown said, ""so it was a correct no-call.""","minimal","contact","brown","said","so","c(2980, 2978, 2981)","c(1, 1, 1)","c(1361, 1361, 1361)","c(1621, 965, 1626)","c(2884, 2882, 2885)","c(1891, 1949, 2099)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.809469696969678, 0.831439393939374, 0.888257575757554)"
"79","""She's happy for me, but she's still on me with the grades,"" Williams said. ""She's glad I'm getting a scholarship so she doesn't have to pay for anything. I have a 3.0 GPA, and for the NCAA (Clearing House) the only thing left to do is send my SAT scores. The academic advisor (at USF) said I am on track for admission.""","have","to","pay","for","anything","c(1335, 1299, 1309)","c(1, 1, 1)","c(604, 604, 604)","c(1880, 104, 681)","c(1293, 1261, 1271)","c(270, 283, 444)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.195454545454545, 0.200378787878787, 0.261363636363633)"
"80","How are you? Btw thanks for the RT. You gonna be in DC anytime soon? Love to see you. Been way, way too long.","you","been","way","way","too","c(4055, 4053, 4054)","c(1, 1, 1)","c(1761, 1761, 1761)","c(1670, 618, 1620)","c(3916, 3914, 3915)","c(1905, 1977, 2138)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.814772727272708, 0.842045454545434, 0.903030303030281)"
"81","When you meet someone special... you'll know. Your heart will beat more rapidly and you'll smile for no reason.","and","you'll","smile","for","no","c(1335, 1299, 1309)","c(1, 1, 1)","c(604, 604, 604)","c(1880, 104, 681)","c(1293, 1261, 1271)","c(270, 283, 444)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.029999999999994,FALSE,"c(0.195454545454545, 0.200378787878787, 0.261363636363633)"
"82","they've decided its more fun if I don't.",NA,NA,NA,"they've","decided","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"83","So Tired D; Played Lazer Tag & Ran A LOT D; Ughh Going To Sleep Like In 5 Minutes ;)","tired","d","played","lazer","tag","NA","NA","NA","NA","NA","NA","NA",0.0200000000000031,FALSE,NA
"84","Words from a complete stranger! Made my birthday even better :)","stranger","made","my","birthday","even","c(6812, 6815, 6800)","c(1, 1, 1)","c(5082, 5082, 5082)","c(1484, 1601, 606)","c(6726, 6729, 6714)","c(396, 949, 1165)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.243181818181816, 0.452651515151506, 0.534469696969686)"
"85","we need to reconnect THIS WEEK","need","to","reconnect","this","week","c(3670, 3673, 3668)","c(1, 1, 1)","c(1628, 1628, 1628)","c(804, 1085, 342)","c(3559, 3562, 3557)","c(371, 604, 762)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.233712121212119, 0.321969696969692, 0.381818181818175)"
"86","I'm doing it!👦",NA,NA,"i'm","doing","it","c(1069, 1668, 1666)","c(1, 1, 1)","c(448, 763, 763)","c(804, 1106, 2)","c(1034, 1612, 1610)","c(390, 872, 395)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.0200000000000031,FALSE,"c(0.240909090909089, 0.423484848484841, 0.283547257876315)"
"87","Packing for a quick move down the street... If only I had some movers...","street","if","only","i","had","c(1713, 1724, 1685)","c(1, 1, 1)","c(761, 761, 761)","c(1340, 1778, 429)","c(1652, 1663, 1629)","c(406, 433, 711)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.246969696969694, 0.257196969696967, 0.362499999999994)"
"88","RT : According to the National Retail Federation $16.3 BILLION was spent on #MothersDay last year!!",NA,"rt","","according","to","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"89","“: ""The tragedy of life is not that it ends so soon, but that we wait so long to begin it."" - W.M. Lewis”","wait","so","long","to","begin","c(3823, 3765, 3839)","c(1, 1, 1)","c(1651, 1651, 1651)","c(1527, 455, 1716)","c(3696, 3643, 3708)","c(188, 265, 287)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0600000000000023,FALSE,"c(0.164393939393939, 0.193560606060605, 0.201893939393938)"
"90","More skating! Come by the check out a movie, eat a great dinner and top it off with great times at the ice rink.","eat","a","great","dinner","and","c(1035, 1479, 1478)","c(1, 1, 1)","c(429, 677, 677)","c(1814, 1201, 1036)","c(1001, 1427, 1426)","c(979, 86, 466)","c(0.00058343057176196, 0.00165562913907285, 0.00165562913907285)",0.0599999999999952,FALSE,"c(0.624270711785292, 0.165562913907285, 0.79470198675496)"
"91","watch your mailbox! : )",NA,NA,"watch","your","mailbox","c(4343, 4351, 4342)","c(1, 1, 1)","c(1854, 1854, 1854)","c(400, 1255, 358)","c(4195, 4203, 4194)","c(1065, 1161, 1784)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.496590909090899, 0.532954545454534, 0.768939393939376)"
"92","Don't care what others think of you, and you will save yourself a lot of mental energy that instead can be used to push you towards success.","that","instead","can","be","used","c(5044, 5049, 5056)","c(1, 1, 1)","c(4183, 4183, 4183)","c(763, 1184, 1556)","c(5010, 5015, 5021)","c(238, 309, 492)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0799999999999983,FALSE,"c(0.183333333333333, 0.210227272727271, 0.279545454545451)"
"93","This Ron Artest interview... is it possible to die from laughter?","artest","interview","is","it","possible","c(6381, 6400, 6402)","c(1, 1, 1)","c(4856, 4856, 4856)","c(740, 1479, 1660)","c(6305, 6321, 6323)","c(196, 435, 793)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0800000000000054,FALSE,"c(0.167424242424242, 0.257954545454543, 0.393560606060599)"
"94","I love you, and I'm so proud of you. From sitting on those stairs on The X Factor, to now. You boys are my inspiration.♥ :) xx","you","boys","are","my","inspiration","c(2351, 2354, 2339)","c(1, 1, 1)","c(1054, 1054, 1054)","c(1550, 1673, 631)","c(2272, 2275, 2260)","c(396, 949, 1165)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.243181818181816, 0.452651515151506, 0.534469696969686)"
"95","Maybe some other time I can't slow down, right across that state line right about now","can't","slow","down","right","across","c(2934, 2936, 2937)","c(1, 1, 1)","c(1332, 1332, 1332)","c(33, 1078, 1740)","2839:2841","c(1374, 1793, 2077)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.029999999999994,FALSE,"c(0.61363636363635, 0.772348484848467, 0.879924242424221)"
"96","i Love Reading your magazine (: it always cheers me up","it","always","cheers","me","up","c(2225, 2226, 2223)","c(1, 1, 1)","c(991, 991, 991)","c(1667, 1670, 1127)","c(2149, 2150, 2147)","c(1357, 1499, 1595)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.607196969696956, 0.660984848484834, 0.697348484848469)"
"97","Great talking to you guys tonight! Looking forward to your piece next week Jon.",NA,NA,NA,"great","talking","c(1479, 1478)","c(1, 1)","c(677, 677)","c(1201, 1036)","c(1427, 1426)","c(86, 466)","c(0.00165562913907285, 0.00165562913907285)",0.00999999999999801,FALSE,"c(0.165562913907285, 0.79470198675496)"
"98","maybe? just seems they thought up that idea over sunday brunch and thought it was swell.","thought","up","that","idea","over","c(3344, 3340, 3388)","c(1, 1, 1)","c(1606, 1606, 1606)","c(247, 69, 1863)","c(3242, 3238, 3284)","c(237, 305, 312)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.182954545454545, 0.20871212121212, 0.211363636363635)"
"99","Thanks for the #FF! Awfully good company to be in.","thanks","for","the","ff","awfully","c(8012, 7952, 8027)","c(1, 1, 1)","c(5636, 5636, 5636)","c(1322, 802, 1456)","c(7896, 7839, 7910)","c(175, 211, 215)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0399999999999991,FALSE,"c(0.159469696969697, 0.17310606060606, 0.174621212121212)"
"100","nice I watched the whole series, LOVED Julia and her mom Erica was such a badass","series","loved","julia","and","her","c(322, 381, 316)","c(1, 1, 1)","c(71, 71, 71)","c(870, 1670, 782)","c(305, 361, 299)","c(200, 290, 323)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0399999999999991,FALSE,"c(0.168939393939394, 0.203030303030302, 0.215530303030301)"
"101","GOP line on Obama gay marriage stance seems to be that he flip-flopped. Really want to use that with Romney as your presidential candidate?",NA,"gop","line","on","obama","c(2591, 2578, 2601)","c(1, 1, 1)","c(1116, 1116, 1116)","c(1483, 636, 1698)","c(2501, 2488, 2509)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"102","I know, I know. Then you kick yourself when the fight goes lopsided. But if the upset DOES happen, wow. Nothing like it.","happen","wow","nothing","like","it","c(2100, 2096, 2101)","c(1, 1, 1)","c(916, 916, 916)","c(1720, 1244, 1876)","c(2024, 2020, 2025)","c(223, 340, 516)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.177651515151515, 0.221969696969695, 0.28863636363636)"
"103","William Davis attorney says client will plead insanity. He faces first-degree murder charge in woman's death",NA,NA,NA,"william","davis","NA","NA","NA","NA","NA","NA","NA",0,FALSE,NA
"104","love chris brown",NA,NA,"love","chris","brown","c(2153, 2152, 2154)","c(1, 1, 1)","c(950, 950, 950)","c(1118, 618, 1547)","c(2077, 2076, 2078)","c(1083, 1950, 1992)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.503409090909081, 0.831818181818162, 0.847727272727252)"
"105","its sounds good",NA,NA,"its","sounds","good","c(1952, 1954, 1953)","c(1, 1, 1)","c(832, 832, 832)","c(1098, 1172, 1106)","c(1878, 1880, 1879)","c(929, 1182, 1432)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.445075757575749, 0.54090909090908, 0.635606060606046)"
"106",". many things can happen. Only YOU can control your reaction to it. Practice this good",NA,NA,NA,"","many","NA","NA","NA","NA","NA","NA","NA",0.00999999999999801,FALSE,NA
"107","""You will allow me to continue to do what I love."" Big Show's wife?",NA,NA,NA,"you","will","c(4325, 4327, 4337)","c(1, 1, 1)","c(1852, 1852, 1852)","c(720, 842, 1625)","c(4177, 4179, 4189)","c(149, 275, 311)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.149621212121213, 0.197348484848484, 0.210984848484847)"
"108","lets do this",NA,NA,"lets","do","this","c(1059, 1057, 1058)","c(1, 1, 1)","c(444, 444, 444)","c(1474, 804, 1106)","c(1025, 1023, 1024)","c(316, 759, 1052)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.212878787878786, 0.380681818181812, 0.491666666666657)"
"109","Sleeping? Not likely. RT : Sleeping to",NA,"sleeping","not","likely","rt","c(2457, 2455, 2436)","c(1, 1, 1)","c(1094, 1094, 1094)","c(1626, 1558, 321)","c(2373, 2371, 2353)","c(174, 408, 713)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.029999999999994,FALSE,"c(0.159090909090909, 0.24772727272727, 0.36325757575757)"
"110","Time for lunch!",NA,NA,NA,"time","for","c(3714, 3708, 3701)","c(1, 1, 1)","c(1642, 1642, 1642)","c(1814, 1670, 2)","c(3598, 3595, 3589)","c(247, 264, 281)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.186742424242424, 0.193181818181817, 0.199621212121211)"
"111","This humidity is not sitting well with me at all !! #NeedACInSchool D:",NA,NA,NA,"this","humidity","c(3670, 3673, 3668)","c(1, 1, 1)","c(1628, 1628, 1628)","c(804, 1085, 342)","c(3559, 3562, 3557)","c(371, 604, 762)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0,FALSE,"c(0.233712121212119, 0.321969696969692, 0.381818181818175)"
"112","Do u know whats creepily??? I Hate Cheesecake. Its Cake with Cheese in front of it!","with","cheese","in","front","of","c(5837, 6272, 6276)","c(1, 1, 1)","c(4653, 4815, 4815)","c(1070, 1565, 1732)","c(5787, 6197, 6201)","c(1668, 191, 301)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0600000000000023,FALSE,"c(0.724999999999983, 0.165530303030303, 0.207196969696968)"
"113","Who's going to the OVW show tomorrow? your team dominoski will be in the house! First brew after the show is on me!","the","show","is","on","me","c(2591, 2578, 2601)","c(1, 1, 1)","c(1116, 1116, 1116)","c(1483, 636, 1698)","c(2501, 2488, 2509)","c(251, 399, 651)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0499999999999972,FALSE,"c(0.188257575757575, 0.244318181818179, 0.339772727272722)"
"114","at six flags.",NA,NA,"at","six","flags","c(495, 517, 504)","c(1, 1, 1)","c(112, 112, 112)","c(90, 1817, 835)","c(474, 493, 482)","c(502, 1026, 1139)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.00999999999999801,FALSE,"c(0.28333333333333, 0.481818181818172, 0.524621212121201)"
"115","« im not mad.. it just sucks that i cant show you off.» THIS!.","that","i","cant","show","you","c(3077, 791, 3079)","c(1, 1, 1)","c(1426, 243, 1426)","c(72, 303, 451)","c(2979, 759, 2981)","c(926, 209, 472)","c(0.000378787878787879, 0.000378787878787879, 0.00058343057176196)",0.0300000000000011,FALSE,"c(0.443939393939386, 0.172348484848485, 0.328471411901986)"
"116","I'm at little league majors try outs in",NA,"i'm","at","little","league","c(2116, 2115, 2117)","c(1, 1, 1)","c(926, 926, 926)","c(1127, 330, 1588)","c(2040, 2039, 2041)","c(887, 1220, 1422)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.429166666666659, 0.555303030303019, 0.631818181818168)"
"117","lo mejor! it was cool experiencing work through the eyes of an excited teen","mejor","it","was","cool","experiencing","c(936, 4028, 4019)","c(1, 1, 1)","c(352, 1754, 1754)","c(72, 784, 113)","c(903, 3890, 3881)","c(1741, 474, 531)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0899999999999963,FALSE,"c(0.752651515151497, 0.272727272727269, 0.294318181818178)"
"118","Me: the only b word u should call a girl is beautful! Colin: or a butterfly!",NA,"me","the","only","b","c(2618, 2622, 3551)","c(1, 1, 1)","c(1120, 1120, 1608)","c(700, 1754, 1381)","c(2525, 2529, 3442)","c(204, 500, 175)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0200000000000031,FALSE,"c(0.170454545454545, 0.282575757575754, 0.159469696969697)"
"119","I just think that the zooming is overused. It needs to be done tastefully. And it's not the point.","done","tastefully","and","it's","not","c(1907, 322, 381)","c(1, 1, 1)","c(829, 71, 71)","c(609, 870, 1670)","c(1838, 305, 361)","c(2094, 200, 290)","c(0.000378787878787879, 0.000378787878787879, 0.000378787878787879)",0.0300000000000011,FALSE,"c(0.886363636363615, 0.168939393939394, 0.203030303030302)"
